"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LAMBAYEQUE (000)",258671,5581,84158,68426,46688,36992,16826
"Casa independiente (001)",246863,5302,79899,65252,44617,35606,16187
"Departamento en edificio (002)",929,17,249,261,217,141,44
"Vivienda en quinta (003)",1007,13,266,392,197,113,26
"Vivienda en casa de vecindad (004)",449,5,120,140,93,65,26
"Choza o cabaña (005)",7670,182,2987,1768,1257,955,521
"Vivienda improvisada (006)",1572,57,586,556,270,88,15
"Local no destinado para hab.humana (007)",164,4,48,52,36,18,6
"Otro tipo (008)",17,1,3,5,1,6,1
,,,,,,,
"URBANA (009)",124818,2367,36769,33959,23979,19426,8318
"Casa independiente (010)",120734,2271,35510,32574,23172,19005,8202
"Departamento en edificio (011)",929,17,249,261,217,141,44
"Vivienda en quinta (012)",1007,13,266,392,197,113,26
"Vivienda en casa de vecindad (013)",449,5,120,140,93,65,26
"Vivienda improvisada (015)",1572,57,586,556,270,88,15
"Local no destinado para hab.humana (016)",115,3,35,32,29,12,4
"Otro tipo (017)",12,1,3,4,1,2,1
,,,,,,,
"RURAL (018)",133853,3214,47389,34467,22709,17566,8508
"Casa independiente (019)",126129,3031,44389,32678,21445,16601,7985
"Choza o cabaña (023)",7670,182,2987,1768,1257,955,521
"Local no destinado para hab.humana (025)",49,1,13,20,7,6,2
"Otro tipo (026)",5,,,1,,4,
