"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YUNGAY (000)",782,708,74
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",66,66,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",31,29,2
"Aldea infantil, orfelinato, etc (007)",77,50,27
"Otro (008)",525,485,40
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",82,77,5
