"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CORONEL PORTILLO (000)",72167,52521,19646
"Red pública dentro de la vivienda (001)",23135,21785,1350
"Red pública fuera de la vivienda (002)",8714,7495,1219
"Pilón de uso público (003)",3193,2285,908
"Camión - cisterna u otro similar (004)",1448,823,625
"Pozo (005)",22659,14183,8476
"Río, acequia, manatial o similar (006)",5488,782,4706
"Vecino (007)",5392,3766,1626
"Otro (008)",2138,1402,736
,,,
"URBANA (010)",60844,50915,9929
"Red pública dentro de la vivienda (011)",23093,21749,1344
"Red pública fuera de la vivienda (012)",8614,7425,1189
"Pilón de uso público (013)",3059,2244,815
"Camión - cisterna u otro similar (014)",1440,822,618
"Pozo (015)",17204,13431,3773
"Río, acequia, manatial o similar (016)",193,119,74
"Vecino (017)",5233,3739,1494
"Otro (018)",2008,1386,622
,,,
"RURAL (020)",11323,1606,9717
"Red pública dentro de la vivienda (021)",42,36,6
"Red pública fuera de la vivienda (022)",100,70,30
"Pilón de uso público (023)",134,41,93
"Camión - cisterna u otro similar (024)",8,1,7
"Pozo (025)",5455,752,4703
"Río, acequia, manatial o similar (026)",5295,663,4632
"Vecino (027)",159,27,132
"Otro (028)",130,16,114
