"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SAN MARTIN (000)",157756,3048,44539,45870,33247,23137,7915
"Jefe o Jefa (001)",38322,,67,6003,14979,13311,3962
"Esposa(o) / compañera(o) (002)",25619,,55,6392,10792,6871,1509
"Hijo(a) / hijastro(a) (003)",62402,1967,34342,21783,3735,564,11
"Yerno / nuera (004)",2877,,38,1891,827,118,3
"Nieto(a) (005)",8481,802,6141,1462,76,,
"Padres / suegros (006)",2611,,,2,62,736,1811
"Otro(a) pariente (007)",11749,235,3335,4909,1704,1041,525
"Trabajador(a) del hogar (008)",923,,86,716,79,36,6
"Pensionistas (009)",535,,19,354,106,48,8
"Otro(a) no pariente (010)",4237,44,456,2358,887,412,80
"Hombres (011)",79554,1598,22750,22776,16512,12200,3718
"Jefe o Jefa (012)",28639,,36,4253,11450,10130,2770
"Esposa(o) / compañera(o) (013)",1908,,29,518,682,534,145
"Hijo(a) / hijastro(a) (014)",33119,1034,17536,12163,2079,304,3
"Yerno / nuera (015)",1214,,17,585,522,88,2
"Nieto(a) (016)",4500,412,3197,849,42,,
"Padres / suegros (017)",790,,,,25,230,535
"Otro(a) pariente (018)",6402,129,1699,2780,1019,563,212
"Trabajador(a) del hogar (019)",61,,2,41,12,4,2
"Pensionistas (020)",344,,6,215,78,39,6
"Otro(a) no pariente (021)",2577,23,228,1372,603,308,43
"Mujeres (022)",78202,1450,21789,23094,16735,10937,4197
"Jefe o Jefa (023)",9683,,31,1750,3529,3181,1192
"Esposa(o) / compañera(o) (024)",23711,,26,5874,10110,6337,1364
"Hijo(a) / hijastro(a) (025)",29283,933,16806,9620,1656,260,8
"Yerno / nuera (026)",1663,,21,1306,305,30,1
"Nieto(a) (027)",3981,390,2944,613,34,,
"Padres / suegros (028)",1821,,,2,37,506,1276
"Otro(a) pariente (029)",5347,106,1636,2129,685,478,313
"Trabajador(a) del hogar (030)",862,,84,675,67,32,4
"Pensionistas (031)",191,,13,139,28,9,2
"Otro(a) no pariente (032)",1660,21,228,986,284,104,37
,,,,,,,
"URBANA (033)",142969,2629,39138,42138,30589,21231,7244
"Jefe o Jefa (034)",34816,,60,5263,13678,12212,3603
"Esposa(o) / compañera(o) (035)",23043,,44,5447,9864,6321,1367
"Hijo(a) / hijastro(a) (036)",56028,1649,29878,20406,3549,535,11
"Yerno / nuera (037)",2642,,28,1707,789,115,3
"Nieto(a) (038)",7827,733,5622,1400,72,,
"Padres / suegros (039)",2394,,,2,56,646,1690
"Otro(a) pariente (040)",10821,207,2981,4614,1584,953,482
"Trabajador(a) del hogar (041)",911,,85,709,76,35,6
"Pensionistas (042)",529,,19,351,104,47,8
"Otro(a) no pariente (043)",3958,40,421,2239,817,367,74
"Hombres (044)",71405,1390,19970,20710,14958,11035,3342
"Jefe o Jefa (045)",25478,,30,3575,10237,9166,2470
"Esposa(o) / compañera(o) (046)",1837,,29,499,659,511,139
"Hijo(a) / hijastro(a) (047)",29547,882,15242,11199,1942,279,3
"Yerno / nuera (048)",1124,,14,523,500,85,2
"Nieto(a) (049)",4136,373,2921,804,38,,
"Padres / suegros (050)",705,,,,24,191,490
"Otro(a) pariente (051)",5833,112,1522,2581,931,495,192
"Trabajador(a) del hogar (052)",57,,2,39,10,4,2
"Pensionistas (053)",340,,6,213,77,38,6
"Otro(a) no pariente (054)",2348,23,204,1277,540,266,38
"Mujeres (055)",71564,1239,19168,21428,15631,10196,3902
"Jefe o Jefa (056)",9338,,30,1688,3441,3046,1133
"Esposa(o) / compañera(o) (057)",21206,,15,4948,9205,5810,1228
"Hijo(a) / hijastro(a) (058)",26481,767,14636,9207,1607,256,8
"Yerno / nuera (059)",1518,,14,1184,289,30,1
"Nieto(a) (060)",3691,360,2701,596,34,,
"Padres / suegros (061)",1689,,,2,32,455,1200
"Otro(a) pariente (062)",4988,95,1459,2033,653,458,290
"Trabajador(a) del hogar (063)",854,,83,670,66,31,4
"Pensionistas (064)",189,,13,138,27,9,2
"Otro(a) no pariente (065)",1610,17,217,962,277,101,36
,,,,,,,
"RURAL (066)",14787,419,5401,3732,2658,1906,671
"Jefe o Jefa (067)",3506,,7,740,1301,1099,359
"Esposa(o) / compañera(o) (068)",2576,,11,945,928,550,142
"Hijo(a) / hijastro(a) (069)",6374,318,4464,1377,186,29,
"Yerno / nuera (070)",235,,10,184,38,3,
"Nieto(a) (071)",654,69,519,62,4,,
"Padres / suegros (072)",217,,,,6,90,121
"Otro(a) pariente (073)",928,28,354,295,120,88,43
"Trabajador(a) del hogar (074)",12,,1,7,3,1,
"Pensionistas (075)",6,,,3,2,1,
"Otro(a) no pariente (076)",279,4,35,119,70,45,6
"Hombres (077)",8149,208,2780,2066,1554,1165,376
"Jefe o Jefa (078)",3161,,6,678,1213,964,300
"Esposa(o) / compañera(o) (079)",71,,,19,23,23,6
"Hijo(a) / hijastro(a) (080)",3572,152,2294,964,137,25,
"Yerno / nuera (081)",90,,3,62,22,3,
"Nieto(a) (082)",364,39,276,45,4,,
"Padres / suegros (083)",85,,,,1,39,45
"Otro(a) pariente (084)",569,17,177,199,88,68,20
"Trabajador(a) del hogar (085)",4,,,2,2,,
"Pensionistas (086)",4,,,2,1,1,
"Otro(a) no pariente (087)",229,,24,95,63,42,5
"Mujeres (088)",6638,211,2621,1666,1104,741,295
"Jefe o Jefa (089)",345,,1,62,88,135,59
"Esposa(o) / compañera(o) (090)",2505,,11,926,905,527,136
"Hijo(a) / hijastro(a) (091)",2802,166,2170,413,49,4,
"Yerno / nuera (092)",145,,7,122,16,,
"Nieto(a) (093)",290,30,243,17,,,
"Padres / suegros (094)",132,,,,5,51,76
