"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia JAUJA (000)",36536,35495,10699,4538,4420,3692,5334,3549,3263,1041
"Católica (001)",32375,31437,9488,4066,3970,3314,4706,3088,2805,938
"Cristiana/Evangélica (002)",3425,3348,953,380,368,311,538,390,408,77
"Otra (003)",401,386,127,46,49,41,57,39,27,15
"Ninguna (004)",335,324,131,46,33,26,33,32,23,11
,,,,,,,,,,
"URBANA (006)",26063,25292,7790,3419,3309,2723,3739,2334,1978,771
"Católica (007)",23242,22546,6916,3078,2985,2471,3339,2048,1709,696
"Cristiana/Evangélica (008)",2284,2229,685,269,256,203,337,241,238,55
"Otra (009)",289,279,95,38,38,33,37,21,17,10
"Ninguna (010)",248,238,94,34,30,16,26,24,14,10
,,,,,,,,,,
"RURAL (012)",10473,10203,2909,1119,1111,969,1595,1215,1285,270
"Católica (013)",9133,8891,2572,988,985,843,1367,1040,1096,242
"Cristiana/Evangélica (014)",1141,1119,268,111,112,108,201,149,170,22
"Otra (015)",112,107,32,8,11,8,20,18,10,5
"Ninguna (016)",87,86,37,12,3,10,7,8,9,1
