"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4480,1054,11,1311,850,198,635,108,313
"Agric., ganadería, caza y silvicultura (001)",2655,788,9,984,554,71,171,24,54
"Pesca (002)",2,,,,1,1,,,
"Industrias manufactureras (004)",89,11,,24,26,9,12,1,6
"Construcción (006)",266,41,1,94,78,10,26,4,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",246,36,,54,63,21,47,6,19
"Venta, mant.y rep. veh.autom.y motoc. (008)",3,,,,,1,1,,1
"Comercio al por mayor (009)",15,1,,1,2,,7,2,2
"Comercio al por menor (010)",228,35,,53,61,20,39,4,16
"Hoteles y restaurantes (011)",66,18,,17,12,5,10,1,3
"Trans., almac. y comunicaciones (012)",52,1,,6,14,8,17,2,4
"Intermediación financiera (013)",1,,,,,,,1,
"Activid.inmobil., empres. y de alquiler (014)",33,2,1,3,5,3,5,4,10
"Admin.pub. y defensa; p. segur.soc.afil (015)",122,3,,8,29,12,40,10,20
"Enseñanza (016)",478,,,2,20,26,259,34,137
"Servicios sociales y de salud (017)",56,,,1,2,4,20,6,23
"Otras activ. serv.comun.soc y personales (018)",93,18,,28,15,7,10,1,14
"Hogares privados con servicio doméstico (019)",68,28,,20,9,3,5,2,1
"Actividad economica no especificada (021)",253,108,,70,22,18,13,12,10
"Hombres (022)",3559,755,10,1103,748,148,472,83,240
"Agric., ganadería, caza y silvicultura (023)",2400,658,9,897,531,67,161,23,54
"Pesca (024)",2,,,,1,1,,,
"Industrias manufactureras (026)",71,7,,19,23,6,9,1,6
"Construcción (028)",256,38,1,90,76,9,26,4,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",114,12,,29,30,9,17,4,13
"Venta, mant.y rep. veh.autom.y motoc. (030)",3,,,,,1,1,,1
"Comercio al por mayor (031)",6,,,,1,,1,2,2
"Comercio al por menor (032)",105,12,,29,29,8,15,2,10
"Hoteles y restaurantes (033)",6,,,1,2,1,1,,1
"Trans., almac. y comunicaciones (034)",51,1,,6,14,8,16,2,4
"Intermediación financiera (035)",1,,,,,,,1,
"Activid.inmobil., empres. y de alquiler (036)",24,2,,2,5,3,3,2,7
"Admin.pub. y defensa; p. segur.soc.afil (037)",97,3,,7,26,10,26,9,16
"Enseñanza (038)",342,,,2,15,17,184,25,99
"Servicios sociales y de salud (039)",28,,,,,4,11,4,9
"Otras activ. serv.comun.soc y personales (040)",60,6,,21,12,3,7,,11
"Hogares privados con servicio doméstico (041)",4,1,,2,1,,,,
"Actividad economica no especificada (043)",103,27,,27,12,10,11,8,8
"Mujeres (044)",921,299,1,208,102,50,163,25,73
"Agric., ganadería, caza y silvicultura (045)",255,130,,87,23,4,10,1,
"Industrias manufactureras (048)",18,4,,5,3,3,3,,
"Construcción (050)",10,3,,4,2,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",132,24,,25,33,12,30,2,6
"Comercio al por mayor (053)",9,1,,1,1,,6,,
"Comercio al por menor (054)",123,23,,24,32,12,24,2,6
