"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",10984,47634,6558,27802,4426,19832
"Casa independiente (001)",10278,44319,6304,26675,3974,17644
"Departamento en edificio (002)",6,16,6,16,,
"Vivienda en quinta (003)",128,581,128,581,,
"Vivienda en casa de vecindad (004)",115,514,115,514,,
"Choza o cabaña (005)",445,2158,,,445,2158
"Local no dest.para hab. humana (007)",9,36,3,10,6,26
"Otro tipo (008)",3,10,2,6,1,4
