"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia QUISPICANCHI (000)",40474,32288,8186
"De 3 a 5 años (001)",6385,514,5871
"De 6 a 11 años (002)",12910,11301,1609
"De 12 a 16 años (003)",10185,10080,105
"De 17 a 24 años (004)",10994,10393,601
"Hombres (005)",20778,16925,3853
"De 3 a 5 años (006)",3202,282,2920
"De 6 a 11 años (007)",6545,5755,790
"De 12 a 16 años (008)",5360,5321,39
"De 17 a 24 años (009)",5671,5567,104
"Mujeres (010)",19696,15363,4333
"De 3 a 5 años (011)",3183,232,2951
"De 6 a 11 años (012)",6365,5546,819
"De 12 a 16 años (013)",4825,4759,66
"De 17 a 24 años (014)",5323,4826,497
,,,
"URBANA (015)",13462,11444,2018
"De 3 a 5 años (016)",1818,193,1625
"De 6 a 11 años (017)",3857,3562,295
"De 12 a 16 años (018)",3646,3628,18
"De 17 a 24 años (019)",4141,4061,80
"Hombres (020)",6883,5900,983
"De 3 a 5 años (021)",905,105,800
"De 6 a 11 años (022)",1966,1812,154
"De 12 a 16 años (023)",1906,1898,8
"De 17 a 24 años (024)",2106,2085,21
"Mujeres (025)",6579,5544,1035
"De 3 a 5 años (026)",913,88,825
"De 6 a 11 años (027)",1891,1750,141
"De 12 a 16 años (028)",1740,1730,10
"De 17 a 24 años (029)",2035,1976,59
,,,
"RURAL (030)",27012,20844,6168
"De 3 a 5 años (031)",4567,321,4246
"De 6 a 11 años (032)",9053,7739,1314
"De 12 a 16 años (033)",6539,6452,87
"De 17 a 24 años (034)",6853,6332,521
"Hombres (035)",13895,11025,2870
"De 3 a 5 años (036)",2297,177,2120
"De 6 a 11 años (037)",4579,3943,636
"De 12 a 16 años (038)",3454,3423,31
"De 17 a 24 años (039)",3565,3482,83
"Mujeres (040)",13117,9819,3298
"De 3 a 5 años (041)",2270,144,2126
"De 6 a 11 años (042)",4474,3796,678
"De 12 a 16 años (043)",3085,3029,56
"De 17 a 24 años (044)",3288,2850,438
