"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia CAÑETE (000)",66214,60454,47175,8441,4838,5760,197,1272,4011,280
"Casa independiente (001)",60558,55389,43288,7570,4531,5169,168,1265,3475,261
"Departamento en edificio (002)",553,519,355,85,79,34,17,2,14,1
"Vivienda en quinta (003)",486,455,419,34,2,31,,2,28,1
"Vivienda en casa de vecindad (004)",377,316,279,27,10,61,12,3,42,4
"Choza o cabaña (005)",1742,1376,733,473,170,366,,,356,10
"Vivienda improvisada (006)",2265,2166,1868,252,46,99,,,96,3
"Local no dest.para hab. humana (007)",125,125,125,,,,,,,
"Otro tipo (008)",108,108,108,,,,,,,
,,,,,,,,,,
"URBANA (009)",48785,45207,38924,4300,1983,3578,166,764,2456,192
"Casa independiente (010)",44940,41587,35839,3902,1846,3353,137,757,2276,183
"Departamento en edificio (011)",553,519,355,85,79,34,17,2,14,1
"Vivienda en quinta (012)",486,455,419,34,2,31,,2,28,1
"Vivienda en casa de vecindad (013)",377,316,279,27,10,61,12,3,42,4
"Vivienda improvisada (015)",2265,2166,1868,252,46,99,,,96,3
"Local no dest.para hab. humana (016)",102,102,102,,,,,,,
"Otro tipo (017)",62,62,62,,,,,,,
,,,,,,,,,,
"RURAL (018)",17429,15247,8251,4141,2855,2182,31,508,1555,88
"Casa independiente (019)",15618,13802,7449,3668,2685,1816,31,508,1199,78
"Choza o cabaña (023)",1742,1376,733,473,170,366,,,356,10
"Local no dest.para hab. humana (025)",23,23,23,,,,,,,
"Otro tipo (026)",46,46,46,,,,,,,
