"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia MORROPON (000)",71032,9832,20255,20429,20516
"Asiste actualmente (001)",45846,5406,19215,16611,4614
"No asiste (002)",25186,4426,1040,3818,15902
"Hombres (004)",36571,4991,10252,10641,10687
"Asiste actualmente (005)",23522,2692,9669,8698,2463
"No asiste (006)",13049,2299,583,1943,8224
"Mujeres (008)",34461,4841,10003,9788,9829
"Asiste actualmente (009)",22324,2714,9546,7913,2151
"No asiste (010)",12137,2127,457,1875,7678
,,,,,
"URBANA (012)",39719,5205,10938,11249,12327
"Asiste actualmente (013)",26127,3194,10413,9388,3132
"No asiste (014)",13592,2011,525,1861,9195
"Hombres (016)",20172,2623,5560,5760,6229
"Asiste actualmente (017)",13231,1570,5254,4802,1605
"No asiste (018)",6941,1053,306,958,4624
"Mujeres (020)",19547,2582,5378,5489,6098
"Asiste actualmente (021)",12896,1624,5159,4586,1527
"No asiste (022)",6651,958,219,903,4571
,,,,,
"RURAL (024)",31313,4627,9317,9180,8189
"Asiste actualmente (025)",19719,2212,8802,7223,1482
"No asiste (026)",11594,2415,515,1957,6707
"Hombres (028)",16399,2368,4692,4881,4458
"Asiste actualmente (029)",10291,1122,4415,3896,858
"No asiste (030)",6108,1246,277,985,3600
"Mujeres (032)",14914,2259,4625,4299,3731
"Asiste actualmente (033)",9428,1090,4387,3327,624
"No asiste (034)",5486,1169,238,972,3107
