"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMBAYEQUE (000)",242045,74655,24210,9088,134438
"Quechua (001)",1054,229,54,42,733
"Aymara (002)",57,16,10,11,25
"Asháninka (003)",28,9,6,14,5
"Otra lengua nativa (004)",69,8,9,17,37
"Castellano (005)",240503,74287,24114,8997,133434
"Idioma Extranjero (006)",8,,1,4,3
"Es Sordomudo/a (007)",326,106,16,3,201
"Hombres (009)",119979,33683,11798,5130,69574
"Quechua (010)",473,94,27,25,329
"Aymara (011)",24,7,5,7,7
"Asháninka (012)",11,5,,4,3
"Otra lengua nativa (013)",36,1,5,15,16
"Castellano (014)",119239,33522,11750,5075,69092
"Idioma Extranjero (015)",5,,,2,3
"Es Sordomudo/a (016)",191,54,11,2,124
"Mujeres (018)",122066,40972,12412,3958,64864
"Quechua (019)",581,135,27,17,404
"Aymara (020)",33,9,5,4,18
"Asháninka (021)",17,4,6,10,2
"Otra lengua nativa (022)",33,7,4,2,21
"Castellano (023)",121264,40765,12364,3922,64342
"Idioma Extranjero (024)",3,,1,2,
"Es Sordomudo/a (025)",135,52,5,1,77
,,,,,
"URBANA (027)",117884,27430,19441,7715,63590
"Quechua (028)",441,76,41,38,288
"Aymara (029)",41,4,8,8,23
"Asháninka (030)",21,5,4,10,4
"Otra lengua nativa (031)",60,3,9,14,35
"Castellano (032)",117200,27314,19365,7643,63163
"Idioma Extranjero (033)",4,,1,1,2
"Es Sordomudo/a (034)",117,28,13,1,75
"Hombres (036)",56836,12034,9203,4287,31491
"Quechua (037)",222,32,21,24,147
"Aymara (038)",18,3,4,6,6
"Asháninka (039)",9,3,,3,3
"Otra lengua nativa (040)",33,1,5,14,14
"Castellano (041)",56470,11979,9163,4238,31265
"Idioma Extranjero (042)",3,,,1,2
"Es Sordomudo/a (043)",81,16,10,1,54
"Mujeres (045)",61048,15396,10238,3428,32099
"Quechua (046)",219,44,20,14,141
"Aymara (047)",23,1,4,2,17
"Asháninka (048)",12,2,4,7,1
"Otra lengua nativa (049)",27,2,4,,21
"Castellano (050)",60730,15335,10202,3405,31898
"Idioma Extranjero (051)",1,,1,,
"Es Sordomudo/a (052)",36,12,3,,21
,,,,,
"RURAL (054)",124161,47225,4769,1373,70848
"Quechua (055)",613,153,13,4,445
"Aymara (056)",16,12,2,3,2
"Asháninka (057)",7,4,2,4,1
"Otra lengua nativa (058)",9,5,,3,2
"Castellano (059)",123303,46973,4749,1354,70271
"Idioma Extranjero (060)",4,,,3,1
"Es Sordomudo/a (061)",209,78,3,2,126
"Hombres (063)",63143,21649,2595,843,38083
"Quechua (064)",251,62,6,1,182
"Aymara (065)",6,4,1,1,1
"Asháninka (066)",2,2,,1,
"Otra lengua nativa (067)",3,,,1,2
"Castellano (068)",62769,21543,2587,837,37827
"Idioma Extranjero (069)",2,,,1,1
"Es Sordomudo/a (070)",110,38,1,1,70
"Mujeres (072)",61018,25576,2174,530,32765
"Quechua (073)",362,91,7,3,263
"Aymara (074)",10,8,1,2,1
"Asháninka (075)",5,2,2,3,1
"Otra lengua nativa (076)",6,5,,2,
"Castellano (077)",60534,25430,2162,517,32444
"Idioma Extranjero (078)",2,,,2,
"Es Sordomudo/a (079)",99,40,2,1,56
