"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SUCRE (000)",12556,208,4373,2388,2212,1936,1439
"Casa independiente (001)",11650,187,4030,2260,2056,1789,1328
"Vivienda en quinta (003)",20,,7,3,4,5,1
"Vivienda en casa de vecindad (004)",21,,4,3,3,7,4
"Choza o cabaña (005)",864,21,332,122,149,135,105
"Vivienda improvisada (006)",1,,,,,,1
,,,,,,,
"URBANA (009)",7656,110,2733,1471,1436,1099,807
"Casa independiente (010)",7614,110,2722,1465,1429,1087,801
"Vivienda en quinta (012)",20,,7,3,4,5,1
"Vivienda en casa de vecindad (013)",21,,4,3,3,7,4
"Vivienda improvisada (015)",1,,,,,,1
,,,,,,,
"RURAL (018)",4900,98,1640,917,776,837,632
"Casa independiente (019)",4036,77,1308,795,627,702,527
"Choza o cabaña (023)",864,21,332,122,149,135,105
