"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ASCOPE (000)",27487,21924,5563
"Red pública dentro de la vivienda (001)",12677,11696,981
"Red pública fuera de la vivienda (002)",766,597,169
"Pilón de uso público (003)",249,170,79
"Camión - cisterna u otro similar (004)",110,67,43
"Pozo (005)",11103,8298,2805
"Río, acequia, manatial o similar (006)",467,76,391
"Vecino (007)",1767,850,917
"Otro (008)",348,170,178
,,,
"URBANA (010)",24067,20858,3209
"Red pública dentro de la vivienda (011)",11986,11176,810
"Red pública fuera de la vivienda (012)",701,569,132
"Pilón de uso público (013)",187,122,65
"Camión - cisterna u otro similar (014)",96,58,38
"Pozo (015)",9061,7921,1140
"Río, acequia, manatial o similar (016)",75,46,29
"Vecino (017)",1670,825,845
"Otro (018)",291,141,150
,,,
"RURAL (020)",3420,1066,2354
"Red pública dentro de la vivienda (021)",691,520,171
"Red pública fuera de la vivienda (022)",65,28,37
"Pilón de uso público (023)",62,48,14
"Camión - cisterna u otro similar (024)",14,9,5
"Pozo (025)",2042,377,1665
"Río, acequia, manatial o similar (026)",392,30,362
"Vecino (027)",97,25,72
"Otro (028)",57,29,28
