"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AREQUIPA (000)",685,673,12
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",348,348,
"Casa pensión (003)",48,48,
"Hospital, clinica (004)",20,20,
"Cárcel, centro de readaptación social (005)",4,4,
"Asilo (006)",7,7,
"Aldea infantil, orfelinato, etc (007)",26,26,
"Otro (008)",112,103,9
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",120,117,3
