"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SULLANA (000)",93468,67321,8743,8486,8918
"Empleado (001)",23147,8441,3185,5380,6141
"Obrero (002)",20578,12178,2918,2844,2638
"Trabajador independiente (003)",40744,38647,2097,,
"Empleador o patrono (004)",2051,1600,247,143,61
"Trabajador familiar no remunerado (005)",4862,4369,296,119,78
"Trabajador del hogar (006)",2086,2086,,,
"De 06 a 14 años (008)",1058,944,79,24,11
"Empleado (009)",140,117,17,5,1
"Obrero (010)",186,155,16,8,7
"Trabajador independiente (011)",269,254,15,,
"Empleador o patrono (012)",2,2,,,
"Trabajador familiar no remunerado (013)",409,364,31,11,3
"Trabajador del hogar (014)",52,52,,,
"De 15 a 29 años (016)",29751,21297,3249,2660,2545
"Empleado (017)",7576,3669,1167,1351,1389
"Obrero (018)",8241,4742,1181,1212,1106
"Trabajador independiente (019)",10265,9581,684,,
"Empleador o patrono (020)",443,317,63,48,15
"Trabajador familiar no remunerado (021)",2286,2048,154,49,35
"Trabajador del hogar (022)",940,940,,,
"De 30 a 44 años (024)",34917,23636,3420,3842,4019
"Empleado (025)",9918,2971,1360,2641,2946
"Obrero (026)",7425,4162,1124,1112,1027
"Trabajador independiente (027)",15045,14269,776,,
"Empleador o patrono (028)",669,514,88,51,16
"Trabajador familiar no remunerado (029)",1223,1083,72,38,30
"Trabajador del hogar (030)",637,637,,,
"De 45 a 64 años (032)",23680,17752,1819,1878,2231
"Empleado (033)",5189,1505,609,1338,1737
"Obrero (034)",4100,2618,537,485,460
"Trabajador independiente (035)",12533,11973,560,,
"Empleador o patrono (036)",743,597,80,38,28
"Trabajador familiar no remunerado (037)",717,661,33,17,6
"Trabajador del hogar (038)",398,398,,,
"De 65 y más años (040)",4062,3692,176,82,112
"Empleado (041)",324,179,32,45,68
"Obrero (042)",626,501,60,27,38
"Trabajador independiente (043)",2632,2570,62,,
"Empleador o patrono (044)",194,170,16,6,2
"Trabajador familiar no remunerado (045)",227,213,6,4,4
"Trabajador del hogar (046)",59,59,,,
,,,,,
"URBANA (048)",84924,60072,8118,8233,8501
"Empleado (049)",22748,8269,3155,5306,6018
"Obrero (050)",17219,9645,2549,2673,2352
"Trabajador independiente (051)",37399,35448,1951,,
