"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CARHUAZ (000)",19933,2537,5814,5237,6345
"Asiste actualmente (001)",12585,959,5402,4332,1892
"No asiste (002)",7348,1578,412,905,4453
"Hombres (004)",10039,1297,2899,2665,3178
"Asiste actualmente (005)",6654,505,2694,2353,1102
"No asiste (006)",3385,792,205,312,2076
"Mujeres (008)",9894,1240,2915,2572,3167
"Asiste actualmente (009)",5931,454,2708,1979,790
"No asiste (010)",3963,786,207,593,2377
,,,,,
"URBANA (012)",6321,774,1808,1603,2136
"Asiste actualmente (013)",4365,349,1733,1427,856
"No asiste (014)",1956,425,75,176,1280
"Hombres (016)",3109,388,860,808,1053
"Asiste actualmente (017)",2183,195,818,730,440
"No asiste (018)",926,193,42,78,613
"Mujeres (020)",3212,386,948,795,1083
"Asiste actualmente (021)",2182,154,915,697,416
"No asiste (022)",1030,232,33,98,667
,,,,,
"RURAL (024)",13612,1763,4006,3634,4209
"Asiste actualmente (025)",8220,610,3669,2905,1036
"No asiste (026)",5392,1153,337,729,3173
"Hombres (028)",6930,909,2039,1857,2125
"Asiste actualmente (029)",4471,310,1876,1623,662
"No asiste (030)",2459,599,163,234,1463
"Mujeres (032)",6682,854,1967,1777,2084
"Asiste actualmente (033)",3749,300,1793,1282,374
"No asiste (034)",2933,554,174,495,1710
