"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia DOS DE MAYO (000)",10909,10510,38,1717,1570,1433,2487,1867,1042,356,399,44795
"De 12 a 14 años (001)",12,7,,7,,,,,,,5,7
"De 15 a 19 años (002)",353,319,2,261,45,5,6,,,,34,390
"De 20 a 24 años (003)",1240,1098,6,593,345,118,32,4,,,142,1800
"De 25 a 29 años (004)",1281,1180,8,334,352,284,178,22,2,,101,2802
"De 30 a 34 años (005)",1270,1226,3,153,257,287,392,115,17,2,44,4145
"De 35 a 39 años (006)",1323,1302,2,89,158,245,437,265,96,10,21,5664
"De 40 a 44 años (007)",1115,1108,1,47,88,122,321,312,162,55,7,5973
"De 45 a 49 años (008)",973,966,3,44,71,84,231,284,177,72,7,5590
"De 50 y más años (009)",3342,3304,13,189,254,288,890,865,588,217,38,18424
"PEA (010)",2717,2589,9,445,437,387,598,412,223,78,128,10518
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",58,52,2,37,9,2,2,,,,6,69
"De 20 a 24 años (013)",236,196,1,120,51,20,3,1,,,40,301
"De 25 a 29 años (014)",325,281,2,103,82,57,34,1,2,,44,611
"De 30 a 34 años (015)",363,346,1,73,88,71,90,20,2,1,17,1010
"De 35 a 39 años (016)",389,385,1,41,81,85,112,48,15,2,4,1407
"De 40 a 44 años (017)",340,335,,21,43,45,101,68,43,14,5,1646
"De 45 a 49 años (018)",289,287,,11,25,35,69,84,45,18,2,1598
"De 50 y más años (019)",716,707,2,39,58,72,187,190,116,43,9,3876
"Ocupada (020)",2628,2530,9,423,422,383,592,407,217,77,98,10331
"De 12 a 14 años (021)",1,,,,,,,,,,1,
