"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia HUANCANE (000)",23912,56,1061,237,300,1559,9596,950,753,7747,109,522,1022
"Agric., ganadería, caza y silvicultura (001)",16026,,4,8,,,9544,4,14,6452,,,
"Pesca (002)",100,,,,,,52,,,48,,,
"Explotación de minas y canteras (003)",101,,1,1,,1,,75,,23,,,
"Industrias manufactureras (004)",814,,,6,,8,,760,32,8,,,
"Suministro de electricidad, gas y agua (005)",22,,1,2,2,,,1,10,6,,,
"Construcción (006)",683,,6,5,1,,,10,402,259,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",1731,,4,14,,1299,,95,7,312,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",73,,,1,,17,,49,6,,,,
"Comercio al por mayor (009)",98,,,2,,95,,,,1,,,
"Comercio al por menor (010)",1560,,4,11,,1187,,46,1,311,,,
"Hoteles y restaurantes (011)",306,,,9,1,173,,,,123,,,
"Trans., almac. y comunicaciones (012)",497,,3,1,3,,,,273,217,,,
"Intermediación financiera (013)",11,,,,10,,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",116,,36,19,15,25,,3,1,17,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",516,51,21,16,232,8,,1,10,68,109,,
"Enseñanza (016)",941,5,912,2,12,,,,1,9,,,
"Servicios sociales y de salud (017)",202,,62,93,11,27,,,3,6,,,
"Otras activ. serv.comun.soc y personales (018)",137,,11,60,5,18,,1,,42,,,
"Hogares privados con servicio doméstico (019)",156,,,,,,,,,156,,,
"Actividad economica no especificada (021)",531,,,1,8,,,,,,,522,
"Desocupado (022)",1022,,,,,,,,,,,,1022
"Hombres (023)",14090,48,777,167,219,613,6912,584,732,2935,94,222,787
"Agric., ganadería, caza y silvicultura (024)",9052,,4,8,,,6865,4,13,2158,,,
"Pesca (025)",95,,,,,,47,,,48,,,
"Explotación de minas y canteras (026)",99,,1,1,,1,,73,,23,,,
"Industrias manufactureras (027)",436,,,3,,2,,400,25,6,,,
"Suministro de electricidad, gas y agua (028)",21,,1,2,1,,,1,10,6,,,
"Construcción (029)",663,,5,5,,,,9,393,251,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",752,,4,9,,519,,92,7,121,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",64,,,1,,10,,47,6,,,,
"Comercio al por mayor (032)",48,,,1,,46,,,,1,,,
"Comercio al por menor (033)",640,,4,7,,463,,45,1,120,,,
"Hoteles y restaurantes (034)",62,,,4,1,39,,,,18,,,
"Trans., almac. y comunicaciones (035)",473,,2,1,2,,,,269,199,,,
"Intermediación financiera (036)",9,,,,9,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",96,,32,14,12,25,,3,1,9,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",403,43,20,13,170,8,,1,10,44,94,,
"Enseñanza (039)",700,5,674,2,9,,,,1,9,,,
"Servicios sociales y de salud (040)",100,,23,50,8,11,,,3,5,,,
"Otras activ. serv.comun.soc y personales (041)",95,,11,54,3,8,,1,,18,,,
"Hogares privados con servicio doméstico (042)",20,,,,,,,,,20,,,
"Actividad economica no especificada (044)",227,,,1,4,,,,,,,222,
"Desocupado (045)",787,,,,,,,,,,,,787
"Mujeres (046)",9822,8,284,70,81,946,2684,366,21,4812,15,300,235
"Agric., ganadería, caza y silvicultura (047)",6974,,,,,,2679,,1,4294,,,
"Pesca (048)",5,,,,,,5,,,,,,
"Explotación de minas y canteras (049)",2,,,,,,,2,,,,,
"Industrias manufactureras (050)",378,,,3,,6,,360,7,2,,,
"Suministro de electricidad, gas y agua (051)",1,,,,1,,,,,,,,
"Construcción (052)",20,,1,,1,,,1,9,8,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",979,,,5,,780,,3,,191,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",9,,,,,7,,2,,,,,
"Comercio al por mayor (055)",50,,,1,,49,,,,,,,
"Comercio al por menor (056)",920,,,4,,724,,1,,191,,,
"Hoteles y restaurantes (057)",244,,,5,,134,,,,105,,,
"Trans., almac. y comunicaciones (058)",24,,1,,1,,,,4,18,,,
"Intermediación financiera (059)",2,,,,1,,,,,1,,,
"Activid.inmobil., empres. y alquileres (060)",20,,4,5,3,,,,,8,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",113,8,1,3,62,,,,,24,15,,
"Enseñanza (062)",241,,238,,3,,,,,,,,
"Servicios sociales y de salud (063)",102,,39,43,3,16,,,,1,,,
"Otras activ. serv.comun.soc y personales (064)",42,,,6,2,10,,,,24,,,
"Hogares privados con servicio doméstico (065)",136,,,,,,,,,136,,,
"Actividad economica no especificada (067)",304,,,,4,,,,,,,300,
"Desocupado (068)",235,,,,,,,,,,,,235
,,,,,,,,,,,,,
"URBANA (069)",5073,22,683,170,176,1074,658,301,318,965,101,197,408
"Agric., ganadería, caza y silvicultura (070)",1015,,2,2,,,654,1,3,353,,,
"Pesca (071)",6,,,,,,4,,,2,,,
"Explotación de minas y canteras (072)",45,,,1,,1,,34,,9,,,
"Industrias manufactureras (073)",230,,,3,,8,,201,18,,,,
"Suministro de electricidad, gas y agua (074)",17,,,2,2,,,1,10,2,,,
"Construcción (075)",188,,4,4,1,,,3,118,58,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",1158,,4,10,,894,,59,5,186,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",46,,,1,,11,,30,4,,,,
"Comercio al por mayor (078)",37,,,2,,35,,,,,,,
"Comercio al por menor (079)",1075,,4,7,,848,,29,1,186,,,
"Hoteles y restaurantes (080)",225,,,9,,123,,,,93,,,
"Trans., almac. y comunicaciones (081)",274,,2,,3,,,,152,117,,,
"Intermediación financiera (082)",9,,,,8,,,,,1,,,
"Activid.inmobil., empres. y alquileres (083)",76,,22,16,13,14,,1,1,9,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",324,18,17,13,120,5,,,7,43,101,,
"Enseñanza (085)",587,4,571,,7,,,,1,4,,,
"Servicios sociales y de salud (086)",162,,54,74,10,18,,,3,3,,,
"Otras activ. serv.comun.soc y personales (087)",84,,7,35,5,11,,1,,25,,,
"Hogares privados con servicio doméstico (088)",60,,,,,,,,,60,,,
"Actividad economica no especificada (090)",205,,,1,7,,,,,,,197,
"Desocupado (091)",408,,,,,,,,,,,,408
"Hombres (092)",2935,20,442,111,114,367,441,220,309,431,87,107,286
"Agric., ganadería, caza y silvicultura (093)",574,,2,2,,,437,1,3,129,,,
"Pesca (094)",6,,,,,,4,,,2,,,
"Explotación de minas y canteras (095)",43,,,1,,1,,32,,9,,,
"Industrias manufactureras (096)",144,,,2,,2,,126,14,,,,
"Suministro de electricidad, gas y agua (097)",16,,,2,1,,,1,10,2,,,
"Construcción (098)",179,,3,4,,,,2,116,54,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",435,,4,5,,305,,56,5,60,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",39,,,1,,6,,28,4,,,,
"Comercio al por mayor (101)",14,,,1,,13,,,,,,,
"Comercio al por menor (102)",382,,4,3,,286,,28,1,60,,,
"Hoteles y restaurantes (103)",45,,,4,,28,,,,13,,,
"Trans., almac. y comunicaciones (104)",256,,2,,2,,,,149,103,,,
"Intermediación financiera (105)",7,,,,7,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",61,,18,11,11,14,,1,1,5,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",241,16,16,10,76,5,,,7,24,87,,
"Enseñanza (108)",385,4,372,,4,,,,1,4,,,
"Servicios sociales y de salud (109)",77,,18,40,7,6,,,3,3,,,
"Otras activ. serv.comun.soc y personales (110)",58,,7,29,3,6,,1,,12,,,
"Hogares privados con servicio doméstico (111)",11,,,,,,,,,11,,,
"Actividad economica no especificada (113)",111,,,1,3,,,,,,,107,
"Desocupado (114)",286,,,,,,,,,,,,286
"Mujeres (115)",2138,2,241,59,62,707,217,81,9,534,14,90,122
"Agric., ganadería, caza y silvicultura (116)",441,,,,,,217,,,224,,,
"Explotación de minas y canteras (118)",2,,,,,,,2,,,,,
"Industrias manufactureras (119)",86,,,1,,6,,75,4,,,,
"Suministro de electricidad, gas y agua (120)",1,,,,1,,,,,,,,
"Construcción (121)",9,,1,,1,,,1,2,4,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",723,,,5,,589,,3,,126,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",7,,,,,5,,2,,,,,
"Comercio al por mayor (124)",23,,,1,,22,,,,,,,
"Comercio al por menor (125)",693,,,4,,562,,1,,126,,,
"Hoteles y restaurantes (126)",180,,,5,,95,,,,80,,,
"Trans., almac. y comunicaciones (127)",18,,,,1,,,,3,14,,,
"Intermediación financiera (128)",2,,,,1,,,,,1,,,
"Activid.inmobil., empres. y alquileres (129)",15,,4,5,2,,,,,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",83,2,1,3,44,,,,,19,14,,
"Enseñanza (131)",202,,199,,3,,,,,,,,
"Servicios sociales y de salud (132)",85,,36,34,3,12,,,,,,,
"Otras activ. serv.comun.soc y personales (133)",26,,,6,2,5,,,,13,,,
"Hogares privados con servicio doméstico (134)",49,,,,,,,,,49,,,
"Actividad economica no especificada (136)",94,,,,4,,,,,,,90,
"Desocupado (137)",122,,,,,,,,,,,,122
,,,,,,,,,,,,,
"RURAL (138)",18839,34,378,67,124,485,8938,649,435,6782,8,325,614
"Agric., ganadería, caza y silvicultura (139)",15011,,2,6,,,8890,3,11,6099,,,
"Pesca (140)",94,,,,,,48,,,46,,,
"Explotación de minas y canteras (141)",56,,1,,,,,41,,14,,,
"Industrias manufactureras (142)",584,,,3,,,,559,14,8,,,
"Suministro de electricidad, gas y agua (143)",5,,1,,,,,,,4,,,
"Construcción (144)",495,,2,1,,,,7,284,201,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",573,,,4,,405,,36,2,126,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",27,,,,,6,,19,2,,,,
"Comercio al por mayor (147)",61,,,,,60,,,,1,,,
"Comercio al por menor (148)",485,,,4,,339,,17,,125,,,
