"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MOYOBAMBA (000)",81900,14263,17352,18131,13769,8681,9704
"Católica (001)",48152,8118,9837,10383,8333,5347,6134
"Cristiana/Evangélica (002)",17781,3234,3446,3845,2935,2019,2302
"Otra (003)",6887,1271,1419,1435,1162,754,846
"Ninguna (004)",9080,1640,2650,2468,1339,561,422
"Hombres (006)",42660,7360,8932,9269,7254,4726,5119
"Católica (007)",25302,4174,5125,5345,4402,2950,3306
"Cristiana/Evangélica (008)",8510,1608,1587,1774,1389,1015,1137
"Otra (009)",3330,631,672,662,589,379,397
"Ninguna (010)",5518,947,1548,1488,874,382,279
"Mujeres (012)",39240,6903,8420,8862,6515,3955,4585
"Católica (013)",22850,3944,4712,5038,3931,2397,2828
"Cristiana/Evangélica (014)",9271,1626,1859,2071,1546,1004,1165
"Otra (015)",3557,640,747,773,573,375,449
"Ninguna (016)",3562,693,1102,980,465,179,143
,,,,,,,
"URBANA (018)",51160,8671,9916,10968,9005,5816,6784
"Católica (019)",31853,5124,5898,6748,5799,3734,4550
"Cristiana/Evangélica (020)",10208,1880,1848,2102,1717,1256,1405
"Otra (021)",4352,808,832,848,759,500,605
"Ninguna (022)",4747,859,1338,1270,730,326,224
"Hombres (024)",25651,4392,4836,5322,4529,3115,3457
"Católica (025)",16038,2590,2869,3284,2916,2018,2361
"Cristiana/Evangélica (026)",4740,918,834,933,773,617,665
"Otra (027)",2045,396,375,370,368,253,283
"Ninguna (028)",2828,488,758,735,472,227,148
"Mujeres (030)",25509,4279,5080,5646,4476,2701,3327
"Católica (031)",15815,2534,3029,3464,2883,1716,2189
"Cristiana/Evangélica (032)",5468,962,1014,1169,944,639,740
"Otra (033)",2307,412,457,478,391,247,322
"Ninguna (034)",1919,371,580,535,258,99,76
,,,,,,,
"RURAL (036)",30740,5592,7436,7163,4764,2865,2920
"Católica (037)",16299,2994,3939,3635,2534,1613,1584
"Cristiana/Evangélica (038)",7573,1354,1598,1743,1218,763,897
"Otra (039)",2535,463,587,587,403,254,241
"Ninguna (040)",4333,781,1312,1198,609,235,198
"Hombres (042)",17009,2968,4096,3947,2725,1611,1662
"Católica (043)",9264,1584,2256,2061,1486,932,945
"Cristiana/Evangélica (044)",3770,690,753,841,616,398,472
"Otra (045)",1285,235,297,292,221,126,114
"Ninguna (046)",2690,459,790,753,402,155,131
"Mujeres (048)",13731,2624,3340,3216,2039,1254,1258
"Católica (049)",7035,1410,1683,1574,1048,681,639
"Cristiana/Evangélica (050)",3803,664,845,902,602,365,425
"Otra (051)",1250,228,290,295,182,128,127
"Ninguna (052)",1643,322,522,445,207,80,67
