"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia FERREÑAFE (000)",89529,15990,3001,33681,24352,3313,4785,1728,2679
"Quechua (001)",20442,6609,1096,9019,2963,262,303,90,100
"Aymara (002)",57,19,1,23,10,1,,,3
"Ashaninca (003)",18,3,3,6,6,,,,
"Otra lengua nativa (004)",20,2,,7,7,2,1,1,
"Castellano (005)",68828,9238,1894,24602,21357,3048,4481,1634,2574
"Idioma extranjero (006)",3,,,,1,,,1,1
"Es sordomudo/a (007)",161,119,7,24,8,,,2,1
"Hombres (009)",44282,5922,1462,16961,13583,1726,2222,931,1475
"Quechua (010)",9991,2030,526,4791,2060,208,222,65,89
"Aymara (011)",32,9,,13,7,1,,,2
"Ashaninca (012)",5,2,,1,2,,,,
"Otra lengua nativa (013)",7,1,,2,2,1,1,,
"Castellano (014)",34173,3832,931,12139,11507,1516,1999,865,1384
"Idioma extranjero (015)",2,,,,1,,,1,
"Es sordomudo/a (016)",72,48,5,15,4,,,,
"Mujeres (018)",45247,10068,1539,16720,10769,1587,2563,797,1204
"Quechua (019)",10451,4579,570,4228,903,54,81,25,11
"Aymara (020)",25,10,1,10,3,,,,1
"Ashaninca (021)",13,1,3,5,4,,,,
"Otra lengua nativa (022)",13,1,,5,5,1,,1,
"Castellano (023)",34655,5406,963,12463,9850,1532,2482,769,1190
"Idioma extranjero (024)",1,,,,,,,,1
"Es sordomudo/a (025)",89,71,2,9,4,,,2,1
,,,,,,,,,
"URBANA (027)",48695,5084,1307,15217,16092,2762,4210,1565,2458
"Quechua (028)",2903,623,74,1052,709,156,173,56,60
"Aymara (029)",18,5,,3,6,1,,,3
"Ashaninca (030)",12,2,2,3,5,,,,
"Otra lengua nativa (031)",16,2,,3,7,2,1,1,
"Castellano (032)",45666,4402,1227,14138,15360,2603,4036,1507,2393
"Idioma extranjero (033)",2,,,,1,,,,1
"Es sordomudo/a (034)",78,50,4,18,4,,,1,1
"Hombres (036)",23750,2122,642,7225,8399,1388,1851,809,1314
"Quechua (037)",1539,191,31,558,451,115,108,35,50
"Aymara (038)",10,2,,2,3,1,,,2
"Ashaninca (039)",5,2,,1,2,,,,
"Otra lengua nativa (040)",5,1,,,2,1,1,,
"Castellano (041)",22154,1905,608,6654,7938,1271,1742,774,1262
"Idioma extranjero (042)",1,,,,1,,,,
"Es sordomudo/a (043)",36,21,3,10,2,,,,
"Mujeres (045)",24945,2962,665,7992,7693,1374,2359,756,1144
"Quechua (046)",1364,432,43,494,258,41,65,21,10
"Aymara (047)",8,3,,1,3,,,,1
"Ashaninca (048)",7,,2,2,3,,,,
"Otra lengua nativa (049)",11,1,,3,5,1,,1,
"Castellano (050)",23512,2497,619,7484,7422,1332,2294,733,1131
"Idioma extranjero (051)",1,,,,,,,,1
"Es sordomudo/a (052)",42,29,1,8,2,,,1,1
,,,,,,,,,
"RURAL (054)",40834,10906,1694,18464,8260,551,575,163,221
"Quechua (055)",17539,5986,1022,7967,2254,106,130,34,40
"Aymara (056)",39,14,1,20,4,,,,
"Ashaninca (057)",6,1,1,3,1,,,,
"Otra lengua nativa (058)",4,,,4,,,,,
"Castellano (059)",23162,4836,667,10464,5997,445,445,127,181
"Idioma extranjero (060)",1,,,,,,,1,
"Es sordomudo/a (061)",83,69,3,6,4,,,1,
"Hombres (063)",20532,3800,820,9736,5184,338,371,122,161
"Quechua (064)",8452,1839,495,4233,1609,93,114,30,39
"Aymara (065)",22,7,,11,4,,,,
"Otra lengua nativa (067)",2,,,2,,,,,
"Castellano (068)",12019,1927,323,5485,3569,245,257,91,122
"Idioma extranjero (069)",1,,,,,,,1,
"Es sordomudo/a (070)",36,27,2,5,2,,,,
"Mujeres (072)",20302,7106,874,8728,3076,213,204,41,60
"Quechua (073)",9087,4147,527,3734,645,13,16,4,1
"Aymara (074)",17,7,1,9,,,,,
"Ashaninca (075)",6,1,1,3,1,,,,
"Otra lengua nativa (076)",2,,,2,,,,,
"Castellano (077)",11143,2909,344,4979,2428,200,188,36,59
"Es sordomudo/a (079)",47,42,1,1,2,,,1,
