"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ISLAY (000)",14852,162,4540,4934,2141,760,333,93,15,,1874
"Sin Nivel (001)",1528,35,563,455,180,73,48,21,4,,149
"Educación Inicial (002)",13,,4,1,5,,,,,,3
"Primaria (003)",3616,65,1419,1205,365,155,82,35,5,,285
"Secundaria (004)",4379,38,1633,1520,503,137,74,10,2,,462
"Sup. no Univ. Incompleta (005)",1201,7,279,456,180,62,16,6,1,,194
"Sup. no Univ. Completa (006)",2342,9,400,813,508,188,59,8,1,,356
"Sup. Univ. Incompleta (007)",466,1,92,173,87,21,9,1,1,,81
"Sup. Univ. Completa (008)",1307,7,150,311,313,124,45,12,1,,344
,,,,,,,,,,,
"URBANA (010)",13686,143,4126,4538,2015,704,312,87,14,,1747
"Sin Nivel (011)",1328,30,486,391,161,61,41,21,4,,133
"Educación Inicial (012)",11,,3,1,4,,,,,,3
"Primaria (013)",3206,55,1242,1059,339,139,74,32,4,,262
"Secundaria (014)",4048,36,1508,1411,470,127,71,8,2,,415
"Sup. no Univ. Incompleta (015)",1133,6,264,429,172,59,16,6,1,,180
"Sup. no Univ. Completa (016)",2257,9,386,781,495,178,57,8,1,,342
"Sup. Univ. Incompleta (017)",451,1,91,166,84,21,9,1,1,,77
"Sup. Univ. Completa (018)",1252,6,146,300,290,119,44,11,1,,335
,,,,,,,,,,,
"RURAL (020)",1166,19,414,396,126,56,21,6,1,,127
"Sin Nivel (021)",200,5,77,64,19,12,7,,,,16
"Educación Inicial (022)",2,,1,,1,,,,,,
"Primaria (023)",410,10,177,146,26,16,8,3,1,,23
"Secundaria (024)",331,2,125,109,33,10,3,2,,,47
"Sup. no Univ. Incompleta (025)",68,1,15,27,8,3,,,,,14
"Sup. no Univ. Completa (026)",85,,14,32,13,10,2,,,,14
"Sup. Univ. Incompleta (027)",15,,1,7,3,,,,,,4
"Sup. Univ. Completa (028)",55,1,4,11,23,5,1,1,,,9
