"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CASTILLA (000)",10175,90,268,683,1309,2130,3504,2191
"De 12 a 14 años (001)",10,,,,,,1,9
"De 15 a 19 años (002)",228,,,,,,163,65
"De 20 a 24 años (003)",922,,,,,2,618,302
"De 25 a 29 años (004)",1213,,,,,63,834,316
"De 30 a 34 años (005)",1241,,,,,243,756,242
"De 35 a 39 años (006)",1279,,,,19,432,630,198
"De 40 a 44 años (007)",1081,,,,89,490,330,172
"De 45 a 49 años (008)",902,,,2,210,432,138,120
"De 50 y más años (009)",3299,90,268,681,991,468,34,767
"PEA (010)",4223,9,39,195,548,1086,1389,957
"De 12 a 14 años (011)",3,,,,,,1,2
"De 15 a 19 años (012)",67,,,,,,51,16
"De 20 a 24 años (013)",341,,,,,2,197,142
"De 25 a 29 años (014)",492,,,,,29,306,157
"De 30 a 34 años (015)",616,,,,,128,340,148
"De 35 a 39 años (016)",622,,,,8,232,286,96
"De 40 a 44 años (017)",543,,,,48,272,135,88
"De 45 a 49 años (018)",454,,,,111,219,59,65
"De 50 y más años (019)",1085,9,39,195,381,204,14,243
"Ocupada (020)",4124,9,39,194,539,1065,1347,931
"De 12 a 14 años (021)",3,,,,,,1,2
"De 15 a 19 años (022)",62,,,,,,47,15
"De 20 a 24 años (023)",326,,,,,2,190,134
"De 25 a 29 años (024)",475,,,,,28,295,152
"De 30 a 34 años (025)",591,,,,,122,326,143
"De 35 a 39 años (026)",615,,,,7,228,284,96
"De 40 a 44 años (027)",534,,,,45,270,133,86
"De 45 a 49 años (028)",446,,,,111,214,58,63
"De 50 y más años (029)",1072,9,39,194,376,201,13,240
"Desocupada (030)",99,,,1,9,21,42,26
"De 15 a 19 años (032)",5,,,,,,4,1
"De 20 a 24 años (033)",15,,,,,,7,8
"De 25 a 29 años (034)",17,,,,,1,11,5
"De 30 a 34 años (035)",25,,,,,6,14,5
"De 35 a 39 años (036)",7,,,,1,4,2,
"De 40 a 44 años (037)",9,,,,3,2,2,2
"De 45 a 49 años (038)",8,,,,,5,1,2
"De 50 y más años (039)",13,,,1,5,3,1,3
"No PEA (040)",5952,81,229,488,761,1044,2115,1234
"De 12 a 14 años (041)",7,,,,,,,7
"De 15 a 19 años (042)",161,,,,,,112,49
"De 20 a 24 años (043)",581,,,,,,421,160
"De 25 a 29 años (044)",721,,,,,34,528,159
"De 30 a 34 años (045)",625,,,,,115,416,94
"De 35 a 39 años (046)",657,,,,11,200,344,102
"De 40 a 44 años (047)",538,,,,41,218,195,84
"De 45 a 49 años (048)",448,,,2,99,213,79,55
