"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANGALLO (000)",9509,238,2795,3235,2368,873
"Empleado (001)",1034,3,269,508,243,11
"Obrero (002)",968,4,381,343,203,37
"Trabajador independiente (003)",5061,24,1195,1727,1447,668
"Empleador o patrono (004)",128,1,39,50,31,7
"Trabajador familiar no remunerado (005)",2270,202,878,600,440,150
"Trabajador del hogar (006)",48,4,33,7,4,
"Hombres (008)",6127,137,1757,2107,1548,578
"Empleado (009)",656,2,160,319,166,9
"Obrero (010)",835,3,337,298,174,23
"Trabajador independiente (011)",3663,16,821,1261,1074,491
"Empleador o patrono (012)",88,1,25,40,18,4
"Trabajador familiar no remunerado (013)",879,114,410,189,115,51
"Trabajador del hogar (014)",6,1,4,,1,
"Mujeres (016)",3382,101,1038,1128,820,295
"Empleado (017)",378,1,109,189,77,2
"Obrero (018)",133,1,44,45,29,14
"Trabajador independiente (019)",1398,8,374,466,373,177
"Empleador o patrono (020)",40,,14,10,13,3
"Trabajador familiar no remunerado (021)",1391,88,468,411,325,99
"Trabajador del hogar (022)",42,3,29,7,3,
,,,,,,
"URBANA (024)",3608,76,978,1394,875,285
"Empleado (025)",810,3,192,411,194,10
"Obrero (026)",292,2,99,121,62,8
"Trabajador independiente (027)",1858,17,442,683,491,225
"Empleador o patrono (028)",41,1,10,14,12,4
"Trabajador familiar no remunerado (029)",583,51,219,161,114,38
"Trabajador del hogar (030)",24,2,16,4,2,
"Hombres (032)",2319,55,630,884,569,181
"Empleado (033)",494,2,113,246,125,8
"Obrero (034)",242,2,86,97,52,5
"Trabajador independiente (035)",1315,11,304,489,350,161
"Empleador o patrono (036)",30,1,7,10,10,2
"Trabajador familiar no remunerado (037)",233,38,116,42,32,5
"Trabajador del hogar (038)",5,1,4,,,
"Mujeres (040)",1289,21,348,510,306,104
"Empleado (041)",316,1,79,165,69,2
"Obrero (042)",50,,13,24,10,3
"Trabajador independiente (043)",543,6,138,194,141,64
"Empleador o patrono (044)",11,,3,4,2,2
"Trabajador familiar no remunerado (045)",350,13,103,119,82,33
"Trabajador del hogar (046)",19,1,12,4,2,
,,,,,,
"RURAL (048)",5901,162,1817,1841,1493,588
"Empleado (049)",224,,77,97,49,1
"Obrero (050)",676,2,282,222,141,29
"Trabajador independiente (051)",3203,7,753,1044,956,443
"Empleador o patrono (052)",87,,29,36,19,3
"Trabajador familiar no remunerado (053)",1687,151,659,439,326,112
"Trabajador del hogar (054)",24,2,17,3,2,
"Hombres (056)",3808,82,1127,1223,979,397
"Empleado (057)",162,,47,73,41,1
"Obrero (058)",593,1,251,201,122,18
"Trabajador independiente (059)",2348,5,517,772,724,330
"Empleador o patrono (060)",58,,18,30,8,2
"Trabajador familiar no remunerado (061)",646,76,294,147,83,46
"Trabajador del hogar (062)",1,,,,1,
"Mujeres (064)",2093,80,690,618,514,191
"Empleado (065)",62,,30,24,8,
"Obrero (066)",83,1,31,21,19,11
"Trabajador independiente (067)",855,2,236,272,232,113
"Empleador o patrono (068)",29,,11,6,11,1
"Trabajador familiar no remunerado (069)",1041,75,365,292,243,66
"Trabajador del hogar (070)",23,2,17,3,1,
