"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ESPINAR (000)",15834,145,5461,5635,1666,535,188,63,8,,2133
"Sin Nivel (001)",4120,61,1405,1435,490,214,79,38,2,,396
"Educación Inicial (002)",23,,9,5,3,,,,,,6
"Primaria (003)",7365,71,2859,2705,707,190,67,18,5,,743
"Secundaria (004)",2928,11,1036,1023,232,65,15,4,1,,541
"Sup. no Univ. Incompleta (005)",324,1,59,122,27,5,2,,,,108
"Sup. no Univ. Completa (006)",530,1,47,209,103,27,13,,,,130
"Sup. Univ. Incompleta (007)",152,,23,36,17,8,1,,,,67
"Sup. Univ. Completa (008)",392,,23,100,87,26,11,3,,,142
,,,,,,,,,,,
"URBANA (010)",6825,60,2223,2322,724,257,111,30,2,,1096
"Sin Nivel (011)",980,25,350,254,104,57,36,17,,,137
"Educación Inicial (012)",8,,1,2,1,,,,,,4
"Primaria (013)",2621,26,1014,943,250,88,34,7,1,,258
"Secundaria (014)",1950,7,719,692,146,51,15,3,1,,316
"Sup. no Univ. Incompleta (015)",274,1,52,113,25,4,2,,,,77
"Sup. no Univ. Completa (016)",473,1,42,188,95,24,12,,,,111
"Sup. Univ. Incompleta (017)",143,,23,35,17,8,1,,,,59
"Sup. Univ. Completa (018)",376,,22,95,86,25,11,3,,,134
,,,,,,,,,,,
"RURAL (020)",9009,85,3238,3313,942,278,77,33,6,,1037
"Sin Nivel (021)",3140,36,1055,1181,386,157,43,21,2,,259
"Educación Inicial (022)",15,,8,3,2,,,,,,2
"Primaria (023)",4744,45,1845,1762,457,102,33,11,4,,485
"Secundaria (024)",978,4,317,331,86,14,,1,,,225
"Sup. no Univ. Incompleta (025)",50,,7,9,2,1,,,,,31
"Sup. no Univ. Completa (026)",57,,5,21,8,3,1,,,,19
"Sup. Univ. Incompleta (027)",9,,,1,,,,,,,8
"Sup. Univ. Completa (028)",16,,1,5,1,1,,,,,8
