"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHUCUITO (000)",119280,18378,4304,1472,95206
"Quechua (001)",673,78,68,26,503
"Aymara (002)",86305,10809,2010,708,72819
"Asháninka (003)",170,23,4,5,139
"Otra lengua nativa (004)",33,10,4,1,18
"Castellano (005)",31964,7432,2218,728,21622
"Idioma Extranjero (006)",8,,,3,5
"Es Sordomudo/a (007)",127,26,,1,100
"Hombres (009)",60849,9048,2322,984,48555
"Quechua (010)",353,35,46,24,250
"Aymara (011)",43364,5130,1110,435,36718
"Asháninka (012)",98,16,2,3,77
"Otra lengua nativa (013)",15,6,3,,6
"Castellano (014)",16954,3848,1161,520,11454
"Idioma Extranjero (015)",5,,,2,3
"Es Sordomudo/a (016)",60,13,,,47
"Mujeres (018)",58431,9330,1982,488,46651
"Quechua (019)",320,43,22,2,253
"Aymara (020)",42941,5679,900,273,36101
"Asháninka (021)",72,7,2,2,62
"Otra lengua nativa (022)",18,4,1,1,12
"Castellano (023)",15010,3584,1057,208,10168
"Idioma Extranjero (024)",3,,,1,2
"Es Sordomudo/a (025)",67,13,,1,53
,,,,,
"URBANA (027)",33806,4691,2609,780,25767
"Quechua (028)",381,26,54,21,282
"Aymara (029)",15303,1229,790,250,13048
"Asháninka (030)",35,2,2,2,30
"Otra lengua nativa (031)",15,1,4,1,9
"Castellano (032)",18050,3430,1759,503,12382
"Idioma Extranjero (033)",8,,,3,5
"Es Sordomudo/a (034)",14,3,,,11
"Hombres (036)",17611,2334,1369,577,13366
"Quechua (037)",217,13,38,21,147
"Aymara (038)",7838,578,418,171,6682
"Asháninka (039)",20,2,1,,17
"Otra lengua nativa (040)",5,,3,,2
"Castellano (041)",9522,1740,909,383,6512
"Idioma Extranjero (042)",5,,,2,3
"Es Sordomudo/a (043)",4,1,,,3
"Mujeres (045)",16195,2357,1240,203,12401
"Quechua (046)",164,13,16,,135
"Aymara (047)",7465,651,372,79,6366
"Asháninka (048)",15,,1,2,13
"Otra lengua nativa (049)",10,1,1,1,7
"Castellano (050)",8528,1690,850,120,5870
"Idioma Extranjero (051)",3,,,1,2
"Es Sordomudo/a (052)",10,2,,,8
,,,,,
"RURAL (054)",85474,13687,1695,692,69439
"Quechua (055)",292,52,14,5,221
"Aymara (056)",71002,9580,1220,458,59771
"Asháninka (057)",135,21,2,3,109
"Otra lengua nativa (058)",18,9,,,9
"Castellano (059)",13914,4002,459,225,9240
"Es Sordomudo/a (061)",113,23,,1,89
"Hombres (063)",43238,6714,953,407,35189
"Quechua (064)",136,22,8,3,103
"Aymara (065)",35526,4552,692,264,30036
"Asháninka (066)",78,14,1,3,60
"Otra lengua nativa (067)",10,6,,,4
"Castellano (068)",7432,2108,252,137,4942
"Es Sordomudo/a (070)",56,12,,,44
"Mujeres (072)",42236,6973,742,285,34250
"Quechua (073)",156,30,6,2,118
"Aymara (074)",35476,5028,528,194,29735
"Asháninka (075)",57,7,1,,49
"Otra lengua nativa (076)",8,3,,,5
"Castellano (077)",6482,1894,207,88,4298
"Es Sordomudo/a (079)",57,11,,1,45
