"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAMANGA (000)",55557,711,20056,16930,6799,2579,1121,376,39,,6946
"Catolica (001)",45282,562,15900,13735,5860,2240,947,297,30,,5711
"Cristiana / Evangelica (002)",8959,130,3767,2788,770,267,142,62,8,,1025
"Otra (003)",824,12,236,262,109,53,26,13,1,,112
"Ninguna (004)",492,7,153,145,60,19,6,4,,,98
,,,,,,,,,,,
"URBANA (006)",40303,496,13361,12333,5549,2161,906,282,24,,5191
"Catolica (007)",34100,398,11073,10382,4896,1910,785,229,20,,4407
"Cristiana / Evangelica (008)",5163,89,1984,1633,518,192,99,44,4,,600
"Otra (009)",607,3,178,187,81,40,17,7,,,94
"Ninguna (010)",433,6,126,131,54,19,5,2,,,90
,,,,,,,,,,,
"RURAL (012)",15254,215,6695,4597,1250,418,215,94,15,,1755
"Catolica (013)",11182,164,4827,3353,964,330,162,68,10,,1304
"Cristiana / Evangelica (014)",3796,41,1783,1155,252,75,43,18,4,,425
"Otra (015)",217,9,58,75,28,13,9,6,1,,18
"Ninguna (016)",59,1,27,14,6,,1,2,,,8
