"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia PAUCARTAMBO",,,,,
"Viviendas particulares (001)",620,134,85,118,283
"Ocupantes presentes (002)",2629,549,361,499,1220
"Casa independiente",,,,,
"Viviendas particulares (004)",566,111,76,114,265
"Ocupantes presentes (005)",2394,448,318,491,1137
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",11,2,5,,4
"Ocupantes presentes (014)",49,6,25,,18
"Choza o cabaña",,,,,
"Viviendas particulares (016)",41,21,4,4,12
"Ocupantes presentes (017)",178,95,18,8,57
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",1,,,,1
"Ocupantes presentes (020)",2,,,,2
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",1,,,,1
"Ocupantes presentes (023)",6,,,,6
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",242,33,29,60,120
"Ocupantes presentes (029)",908,125,117,216,450
"Casa independiente",,,,,
"Viviendas particulares (031)",229,31,24,60,114
"Ocupantes presentes (032)",851,119,92,216,424
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",11,2,5,,4
"Ocupantes presentes (041)",49,6,25,,18
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",1,,,,1
"Ocupantes presentes (047)",2,,,,2
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",1,,,,1
"Ocupantes presentes (050)",6,,,,6
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",378,101,56,58,163
"Ocupantes presentes (056)",1721,424,244,283,770
"Casa independiente",,,,,
"Viviendas particulares (058)",337,80,52,54,151
"Ocupantes presentes (059)",1543,329,226,275,713
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",41,21,4,4,12
"Ocupantes presentes (071)",178,95,18,8,57
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
