"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MORROPON (000)",159347,2977,48734,38514,29526,25951,13645
"Jefe o Jefa (001)",39241,,30,3810,12063,14324,9014
"Esposa(o) / compañera(o) (002)",26489,,38,4796,10093,8769,2793
"Hijo(a) / hijastro(a) (003)",69790,1902,37662,23564,5250,1371,41
"Yerno / nuera (004)",2777,,29,1782,807,151,8
"Nieto(a) (005)",11174,844,8103,2106,115,6,
"Padres / suegros (006)",1357,,,,25,211,1121
"Otro(a) pariente (007)",7344,222,2702,1957,954,943,566
"Trabajador(a) del hogar (008)",142,,8,90,21,18,5
"Pensionistas (009)",143,,5,58,41,28,11
"Otro(a) no pariente (010)",890,9,157,351,157,130,86
"Hombres (011)",80739,1511,24851,19766,14294,13170,7147
"Jefe o Jefa (012)",30701,,15,3050,9970,11371,6295
"Esposa(o) / compañera(o) (013)",940,,22,213,299,292,114
"Hijo(a) / hijastro(a) (014)",37381,946,19173,13580,2927,734,21
"Yerno / nuera (015)",913,,9,406,397,93,8
"Nieto(a) (016)",5912,448,4185,1213,61,5,
"Padres / suegros (017)",438,,,,6,55,377
"Otro(a) pariente (018)",3850,112,1365,1073,515,512,273
"Trabajador(a) del hogar (019)",15,,,8,2,3,2
"Pensionistas (020)",95,,3,41,22,20,9
"Otro(a) no pariente (021)",494,5,79,182,95,85,48
"Mujeres (022)",78608,1466,23883,18748,15232,12781,6498
"Jefe o Jefa (023)",8540,,15,760,2093,2953,2719
"Esposa(o) / compañera(o) (024)",25549,,16,4583,9794,8477,2679
"Hijo(a) / hijastro(a) (025)",32409,956,18489,9984,2323,637,20
"Yerno / nuera (026)",1864,,20,1376,410,58,
"Nieto(a) (027)",5262,396,3918,893,54,1,
"Padres / suegros (028)",919,,,,19,156,744
"Otro(a) pariente (029)",3494,110,1337,884,439,431,293
"Trabajador(a) del hogar (030)",127,,8,82,19,15,3
"Pensionistas (031)",48,,2,17,19,8,2
"Otro(a) no pariente (032)",396,4,78,169,62,45,38
,,,,,,,
"URBANA (033)",91452,1634,26189,22787,17799,15297,7746
"Jefe o Jefa (034)",22834,,20,2127,7120,8445,5122
"Esposa(o) / compañera(o) (035)",15004,,23,2607,5837,4997,1540
"Hijo(a) / hijastro(a) (036)",38662,948,19620,13833,3341,896,24
"Yerno / nuera (037)",1901,,22,1164,596,113,6
"Nieto(a) (038)",6953,546,4932,1400,71,4,
"Padres / suegros (039)",785,,,,19,128,638
"Otro(a) pariente (040)",4403,134,1451,1247,641,589,341
"Trabajador(a) del hogar (041)",124,,7,83,19,10,5
"Pensionistas (042)",126,,5,50,37,23,11
"Otro(a) no pariente (043)",660,6,109,276,118,92,59
"Hombres (044)",45644,846,13231,11374,8408,7714,4071
"Jefe o Jefa (045)",17300,,7,1611,5626,6514,3542
"Esposa(o) / compañera(o) (046)",688,,14,166,217,214,77
"Hijo(a) / hijastro(a) (047)",20364,478,9937,7700,1770,467,12
"Yerno / nuera (048)",676,,7,284,309,70,6
"Nieto(a) (049)",3623,291,2506,787,35,4,
"Padres / suegros (050)",279,,,,4,39,236
"Otro(a) pariente (051)",2267,73,706,652,353,329,154
"Trabajador(a) del hogar (052)",10,,,5,2,1,2
"Pensionistas (053)",86,,3,35,22,17,9
"Otro(a) no pariente (054)",351,4,51,134,70,59,33
"Mujeres (055)",45808,788,12958,11413,9391,7583,3675
"Jefe o Jefa (056)",5534,,13,516,1494,1931,1580
"Esposa(o) / compañera(o) (057)",14316,,9,2441,5620,4783,1463
"Hijo(a) / hijastro(a) (058)",18298,470,9683,6133,1571,429,12
"Yerno / nuera (059)",1225,,15,880,287,43,
"Nieto(a) (060)",3330,255,2426,613,36,,
"Padres / suegros (061)",506,,,,15,89,402
"Otro(a) pariente (062)",2136,61,745,595,288,260,187
"Trabajador(a) del hogar (063)",114,,7,78,17,9,3
"Pensionistas (064)",40,,2,15,15,6,2
"Otro(a) no pariente (065)",309,2,58,142,48,33,26
,,,,,,,
"RURAL (066)",67895,1343,22545,15727,11727,10654,5899
"Jefe o Jefa (067)",16407,,10,1683,4943,5879,3892
"Esposa(o) / compañera(o) (068)",11485,,15,2189,4256,3772,1253
"Hijo(a) / hijastro(a) (069)",31128,954,18042,9731,1909,475,17
"Yerno / nuera (070)",876,,7,618,211,38,2
"Nieto(a) (071)",4221,298,3171,706,44,2,
"Padres / suegros (072)",572,,,,6,83,483
"Otro(a) pariente (073)",2941,88,1251,710,313,354,225
"Trabajador(a) del hogar (074)",18,,1,7,2,8,
"Pensionistas (075)",17,,,8,4,5,
"Otro(a) no pariente (076)",230,3,48,75,39,38,27
"Hombres (077)",35095,665,11620,8392,5886,5456,3076
"Jefe o Jefa (078)",13401,,8,1439,4344,4857,2753
"Esposa(o) / compañera(o) (079)",252,,8,47,82,78,37
"Hijo(a) / hijastro(a) (080)",17017,468,9236,5880,1157,267,9
"Yerno / nuera (081)",237,,2,122,88,23,2
"Nieto(a) (082)",2289,157,1679,426,26,1,
"Padres / suegros (083)",159,,,,2,16,141
"Otro(a) pariente (084)",1583,39,659,421,162,183,119
"Trabajador(a) del hogar (085)",5,,,3,,2,
"Pensionistas (086)",9,,,6,,3,
"Otro(a) no pariente (087)",143,1,28,48,25,26,15
"Mujeres (088)",32800,678,10925,7335,5841,5198,2823
"Jefe o Jefa (089)",3006,,2,244,599,1022,1139
"Esposa(o) / compañera(o) (090)",11233,,7,2142,4174,3694,1216
"Hijo(a) / hijastro(a) (091)",14111,486,8806,3851,752,208,8
"Yerno / nuera (092)",639,,5,496,123,15,
"Nieto(a) (093)",1932,141,1492,280,18,1,
"Padres / suegros (094)",413,,,,4,67,342
