"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia OTUZCO",,,,,,,,
"Viviendas particulares (001)",21965,19151,2552,62,20,113,3,64
"Ocupantes presentes (002)",88633,78513,9285,182,66,353,13,221
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",21690,18971,2473,53,20,107,3,63
"Ocupantes presentes (005)",87585,77795,8992,162,66,339,13,218
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",23,,16,7,,,,
"Ocupantes presentes (008)",55,,44,11,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",28,,27,1,,,,
"Ocupantes presentes (011)",123,,120,3,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",73,34,32,1,,6,,
"Ocupantes presentes (014)",307,170,117,6,,14,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",142,141,1,,,,,
"Ocupantes presentes (017)",532,529,3,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",3,2,,,,,,1
"Ocupantes presentes (020)",12,9,,,,,,3
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",2,,2,,,,,
"Ocupantes presentes (023)",6,,6,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",4,3,1,,,,,
"Ocupantes presentes (026)",13,10,3,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",5699,3675,1812,59,16,79,,58
"Ocupantes presentes (029)",21010,13840,6524,176,46,224,,200
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",5569,3638,1735,50,16,73,,57
"Ocupantes presentes (032)",20502,13658,6235,156,46,210,,197
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",23,,16,7,,,,
"Ocupantes presentes (035)",55,,44,11,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",28,,27,1,,,,
"Ocupantes presentes (038)",123,,120,3,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",73,34,32,1,,6,,
"Ocupantes presentes (041)",307,170,117,6,,14,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",3,2,,,,,,1
"Ocupantes presentes (047)",12,9,,,,,,3
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",1,,1,,,,,
"Ocupantes presentes (050)",5,,5,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",2,1,1,,,,,
"Ocupantes presentes (053)",6,3,3,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",16266,15476,740,3,4,34,3,6
"Ocupantes presentes (056)",67623,64673,2761,6,20,129,13,21
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",16121,15333,738,3,4,34,3,6
"Ocupantes presentes (059)",67083,64137,2757,6,20,129,13,21
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",142,141,1,,,,,
"Ocupantes presentes (071)",532,529,3,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",1,,1,,,,,
"Ocupantes presentes (077)",1,,1,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",2,2,,,,,,
"Ocupantes presentes (080)",7,7,,,,,,
