"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANTA (000)",110988,1423,36527,34599,14748,6040,2670,702,103,,14176
"Sin Nivel (001)",11561,380,4948,3236,1017,432,263,109,21,,1155
"Educación Inicial (002)",107,5,35,26,10,6,,,,,25
"Primaria (003)",26714,564,11580,8034,2481,943,668,216,34,,2194
"Secundaria (004)",36134,307,13523,11944,3996,1452,585,136,17,,4174
"Sup. no Univ. Incompleta (005)",6133,37,1465,2284,941,333,98,26,2,,947
"Sup. no Univ. Completa (006)",9955,44,1624,3318,2241,937,358,68,10,,1355
"Sup. Univ. Incompleta (007)",7097,35,1600,2324,1004,378,119,34,4,,1599
"Sup. Univ. Completa (008)",13287,51,1752,3433,3058,1559,579,113,15,,2727
,,,,,,,,,,,
"URBANA (010)",104536,1254,33478,32631,14251,5890,2592,685,98,,13657
"Sin Nivel (011)",9850,307,4121,2738,904,392,240,97,17,,1034
"Educación Inicial (012)",96,4,28,24,10,6,,,,,24
"Primaria (013)",23788,492,10090,7173,2286,890,627,212,33,,1985
"Secundaria (014)",34661,286,12870,11441,3873,1423,579,136,17,,4036
"Sup. no Univ. Incompleta (015)",6047,37,1445,2250,927,329,98,25,2,,934
"Sup. no Univ. Completa (016)",9855,44,1605,3287,2222,927,353,68,10,,1339
"Sup. Univ. Incompleta (017)",7011,33,1573,2299,990,373,117,34,4,,1588
"Sup. Univ. Completa (018)",13228,51,1746,3419,3039,1550,578,113,15,,2717
,,,,,,,,,,,
"RURAL (020)",6452,169,3049,1968,497,150,78,17,5,,519
"Sin Nivel (021)",1711,73,827,498,113,40,23,12,4,,121
"Educación Inicial (022)",11,1,7,2,,,,,,,1
"Primaria (023)",2926,72,1490,861,195,53,41,4,1,,209
"Secundaria (024)",1473,21,653,503,123,29,6,,,,138
"Sup. no Univ. Incompleta (025)",86,,20,34,14,4,,1,,,13
"Sup. no Univ. Completa (026)",100,,19,31,19,10,5,,,,16
"Sup. Univ. Incompleta (027)",86,2,27,25,14,5,2,,,,11
"Sup. Univ. Completa (028)",59,,6,14,19,9,1,,,,10
