"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANCHEZ CARRION (000)",629,626,3
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",132,132,
"Casa pensión (003)",37,34,3
"Hospital, clinica (004)",74,74,
"Cárcel, centro de readaptación social (005)",20,20,
"Asilo (006)",33,33,
"Otro (008)",211,211,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",122,122,
