"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CANGALLO (000)",19646,19412,234
"Hombres (001)",8955,8865,90
"Mujeres (002)",10691,10547,144
"De 18 a 29 años (003)",5612,5523,89
"Hombres (004)",2653,2592,61
"Mujeres (005)",2959,2931,28
"De 30 a 44 años (006)",5817,5807,10
"Hombres (007)",2757,2754,3
"Mujeres (008)",3060,3053,7
"De 45 a 64 años (009)",4927,4898,29
"Hombres (010)",2197,2184,13
"Mujeres (011)",2730,2714,16
"De 65 y más años (012)",3290,3184,106
"Hombres (013)",1348,1335,13
"Mujeres (014)",1942,1849,93
,,,
"URBANA (015)",6862,6780,82
"Hombres (016)",3155,3118,37
"Mujeres (017)",3707,3662,45
"De 18 a 29 años (018)",1982,1937,45
"Hombres (019)",944,912,32
"Mujeres (020)",1038,1025,13
"De 30 a 44 años (021)",2264,2260,4
"Hombres (022)",1079,1078,1
"Mujeres (023)",1185,1182,3
"De 45 a 64 años (024)",1612,1607,5
"Hombres (025)",740,739,1
"Mujeres (026)",872,868,4
"De 65 y más años (027)",1004,976,28
"Hombres (028)",392,389,3
"Mujeres (029)",612,587,25
,,,
"RURAL (030)",12784,12632,152
"Hombres (031)",5800,5747,53
"Mujeres (032)",6984,6885,99
"De 18 a 29 años (033)",3630,3586,44
"Hombres (034)",1709,1680,29
"Mujeres (035)",1921,1906,15
"De 30 a 44 años (036)",3553,3547,6
"Hombres (037)",1678,1676,2
"Mujeres (038)",1875,1871,4
"De 45 a 64 años (039)",3315,3291,24
"Hombres (040)",1457,1445,12
"Mujeres (041)",1858,1846,12
"De 65 y más años (042)",2286,2208,78
"Hombres (043)",956,946,10
"Mujeres (044)",1330,1262,68
