"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AYABACA (000)",1580,621,959
"Sin nivel (001)",155,53,102
"Primaria (003)",852,315,537
"Secundaria (004)",377,178,199
"Superior no univ. incompleta (005)",40,17,23
"Superior no univ. completa (006)",95,30,65
"Superior univ. incompleta (007)",20,13,7
"Superior univ. completa (008)",41,15,26
"De 14 a 29 años (010)",948,476,472
"Sin nivel (011)",48,33,15
"Primaria (013)",494,231,263
"Secundaria (014)",287,155,132
"Superior no univ. incompleta (015)",25,12,13
"Superior no univ. completa (016)",55,23,32
"Superior univ. incompleta (017)",15,11,4
"Superior univ. completa (018)",24,11,13
"De 30 a 44 años (020)",382,121,261
"Sin nivel (021)",40,16,24
"Primaria (023)",216,72,144
"Secundaria (024)",72,18,54
"Superior no univ. incompleta (025)",9,5,4
"Superior no univ. completa (026)",30,5,25
"Superior univ. incompleta (027)",5,2,3
"Superior univ. completa (028)",10,3,7
"De 45 a 64 años (030)",183,24,159
"Sin nivel (031)",34,4,30
"Primaria (033)",108,12,96
"Secundaria (034)",18,5,13
"Superior no univ. incompleta (035)",6,,6
"Superior no univ. completa (036)",10,2,8
"Superior univ. completa (038)",7,1,6
"De 65 y más años (040)",67,,67
"Sin nivel (041)",33,,33
"Primaria (043)",34,,34
,,,
"AREA URBANA (050)",358,139,219
"Sin nivel (051)",10,,10
"Primaria (053)",74,28,46
"Secundaria (054)",114,50,64
"Superior no univ. incompleta (055)",31,10,21
"Superior no univ. completa (056)",75,25,50
"Superior univ. incompleta (057)",18,11,7
"Superior univ. completa (058)",36,15,21
"De 14 a 29 años (060)",200,103,97
"Primaria (063)",28,15,13
"Secundaria (064)",74,40,34
"Superior no univ. incompleta (065)",20,8,12
"Superior no univ. completa (066)",43,19,24
"Superior univ. incompleta (067)",14,10,4
"Superior univ. completa (068)",21,11,10
"De 30 a 44 años (070)",94,27,67
"Sin nivel (071)",5,,5
"Primaria (073)",22,11,11
"Secundaria (074)",27,6,21
"Superior no univ. incompleta (075)",5,2,3
"Superior no univ. completa (076)",23,4,19
"Superior univ. incompleta (077)",4,1,3
"Superior univ. completa (078)",8,3,5
"De 45 a 64 años (080)",53,9,44
"Sin nivel (081)",3,,3
"Primaria (083)",15,2,13
"Secundaria (084)",13,4,9
"Superior no univ. incompleta (085)",6,,6
"Superior no univ. completa (086)",9,2,7
"Superior univ. completa (088)",7,1,6
"De 65 y más años (090)",11,,11
"Sin nivel (091)",2,,2
"Primaria (093)",9,,9
,,,
"AREA RURAL (100)",1222,482,740
"Sin nivel (101)",145,53,92
"Primaria (103)",778,287,491
"Secundaria (104)",263,128,135
"Superior no univ. incompleta (105)",9,7,2
"Superior no univ. completa (106)",20,5,15
"Superior univ. incompleta (107)",2,2,
"Superior univ. completa (108)",5,,5
"De 14 a 29 años (110)",748,373,375
"Sin nivel (111)",48,33,15
"Primaria (113)",466,216,250
"Secundaria (114)",213,115,98
"Superior no univ. incompleta (115)",5,4,1
"Superior no univ. completa (116)",12,4,8
"Superior univ. incompleta (117)",1,1,
"Superior univ. completa (118)",3,,3
"De 30 a 44 años (120)",288,94,194
"Sin nivel (121)",35,16,19
"Primaria (123)",194,61,133
"Secundaria (124)",45,12,33
"Superior no univ. incompleta (125)",4,3,1
"Superior no univ. completa (126)",7,1,6
"Superior univ. incompleta (127)",1,1,
"Superior univ. completa (128)",2,,2
"De 45 a 64 años (130)",130,15,115
"Sin nivel (131)",31,4,27
"Primaria (133)",93,10,83
"Secundaria (134)",5,1,4
"Superior no univ. completa (136)",1,,1
"De 65 y más años (140)",56,,56
"Sin nivel (141)",31,,31
"Primaria (143)",25,,25
