"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AREQUIPA (000)",823148,28646,150523,173051,147769,117095,85892,56456,63716
"Quechua (001)",101631,193,3544,14620,17366,17833,17556,14617,15902
"Aymara (002)",13464,16,275,1220,2109,2859,2708,2204,2073
"Ashaninca (003)",136,2,28,29,23,17,17,9,11
"Otra lengua nativa (004)",1054,45,288,230,173,139,81,41,57
"Castellano (005)",705179,28359,146193,156664,127754,96046,65380,39292,45491
"Idioma extranjero (006)",1151,16,65,163,231,135,115,270,156
"Es sordomudo/a (007)",533,15,130,125,113,66,35,23,26
"Hombres (009)",395106,14651,76616,84584,69417,53543,39567,26592,30136
"Quechua (010)",45102,92,1645,6388,7364,7612,7769,6758,7474
"Aymara (011)",6252,8,131,543,909,1305,1202,1085,1069
"Ashaninca (012)",74,,21,17,11,9,7,4,5
"Otra lengua nativa (013)",520,24,146,122,74,68,41,19,26
"Castellano (014)",342330,14512,74579,77389,60881,44437,30472,18585,21475
"Idioma extranjero (015)",561,8,32,60,122,80,58,129,72
"Es sordomudo/a (016)",267,7,62,65,56,32,18,12,15
"Mujeres (018)",428042,13995,73907,88467,78352,63552,46325,29864,33580
"Quechua (019)",56529,101,1899,8232,10002,10221,9787,7859,8428
"Aymara (020)",7212,8,144,677,1200,1554,1506,1119,1004
"Ashaninca (021)",62,2,7,12,12,8,10,5,6
"Otra lengua nativa (022)",534,21,142,108,99,71,40,22,31
"Castellano (023)",362849,13847,71614,79275,66873,51609,34908,20707,24016
"Idioma extranjero (024)",590,8,33,103,109,55,57,141,84
"Es sordomudo/a (025)",266,8,68,60,57,34,17,11,11
,,,,,,,,,
"URBANA (027)",802911,27827,146583,169147,144506,114316,83756,54937,61839
"Quechua (028)",96775,154,3181,13792,16412,16968,16805,14084,15379
"Aymara (029)",13110,16,271,1183,2027,2770,2647,2152,2044
"Ashaninca (030)",133,2,28,28,22,17,16,9,11
"Otra lengua nativa (031)",1030,43,278,226,171,136,80,40,56
"Castellano (032)",690194,27583,142635,153630,125534,94225,64059,38359,44169
"Idioma extranjero (033)",1151,16,65,163,231,135,115,270,156
"Es sordomudo/a (034)",518,13,125,125,109,65,34,23,24
"Hombres (036)",384164,14215,74578,82459,67656,52050,38399,25762,29045
"Quechua (037)",42552,74,1461,5941,6887,7173,7389,6456,7171
"Aymara (038)",6072,8,129,529,869,1263,1169,1053,1052
"Ashaninca (039)",72,,21,16,10,9,7,4,5
"Otra lengua nativa (040)",511,23,141,120,74,68,40,19,26
"Castellano (041)",334137,14097,72736,75728,59639,43425,29718,18089,20705
"Idioma extranjero (042)",561,8,32,60,122,80,58,129,72
"Es sordomudo/a (043)",259,5,58,65,55,32,18,12,14
"Mujeres (045)",418747,13612,72005,86688,76850,62266,45357,29175,32794
"Quechua (046)",54223,80,1720,7851,9525,9795,9416,7628,8208
"Aymara (047)",7038,8,142,654,1158,1507,1478,1099,992
"Ashaninca (048)",61,2,7,12,12,8,9,5,6
"Otra lengua nativa (049)",519,20,137,106,97,68,40,21,30
"Castellano (050)",356057,13486,69899,77902,65895,50800,34341,20270,23464
"Idioma extranjero (051)",590,8,33,103,109,55,57,141,84
"Es sordomudo/a (052)",259,8,67,60,54,33,16,11,10
,,,,,,,,,
"RURAL (054)",20237,819,3940,3904,3263,2779,2136,1519,1877
"Quechua (055)",4856,39,363,828,954,865,751,533,523
"Aymara (056)",354,,4,37,82,89,61,52,29
"Ashaninca (057)",3,,,1,1,,1,,
"Otra lengua nativa (058)",24,2,10,4,2,3,1,1,1
"Castellano (059)",14985,776,3558,3034,2220,1821,1321,933,1322
"Es sordomudo/a (061)",15,2,5,,4,1,1,,2
"Hombres (063)",10942,436,2038,2125,1761,1493,1168,830,1091
"Quechua (064)",2550,18,184,447,477,439,380,302,303
"Aymara (065)",180,,2,14,40,42,33,32,17
"Ashaninca (066)",2,,,1,1,,,,
"Otra lengua nativa (067)",9,1,5,2,,,1,,
"Castellano (068)",8193,415,1843,1661,1242,1012,754,496,770
"Es sordomudo/a (070)",8,2,4,,1,,,,1
"Mujeres (072)",9295,383,1902,1779,1502,1286,968,689,786
"Quechua (073)",2306,21,179,381,477,426,371,231,220
"Aymara (074)",174,,2,23,42,47,28,20,12
"Ashaninca (075)",1,,,,,,1,,
"Otra lengua nativa (076)",15,1,5,2,2,3,,1,1
"Castellano (077)",6792,361,1715,1373,978,809,567,437,552
"Es sordomudo/a (079)",7,,1,,3,1,1,,1
