"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMPA (000)",42853,8723,4737,771,28651
"Hombres (001)",21334,4199,2863,489,13804
"Mujeres (002)",21519,4524,1874,282,14847
"PEA (003)",15813,1721,2589,371,11147
"Hombres (004)",10348,993,2012,295,7062
"Mujeres (005)",5465,728,577,76,4085
"Ocupada (006)",13785,1531,2527,347,9395
"Hombres (007)",8765,843,1967,274,5695
"Mujeres (008)",5020,688,560,73,3700
"Desocupada (009)",2028,190,62,24,1752
"Hombres (010)",1583,150,45,21,1367
"Mujeres (011)",445,40,17,3,385
"No PEA (012)",27040,7002,2148,400,17504
"Hombres (013)",10986,3206,851,194,6742
"Mujeres (014)",16054,3796,1297,206,10762
,,,,,
"URBANA (018)",16512,2980,2793,432,10324
"Hombres (019)",8105,1387,1439,281,5011
"Mujeres (020)",8407,1593,1354,151,5313
"PEA (021)",5620,579,1303,230,3518
"Hombres (022)",3634,341,866,189,2247
"Mujeres (023)",1986,238,437,41,1271
"Ocupada (024)",4817,497,1258,218,2854
"Hombres (025)",3018,277,835,179,1736
"Mujeres (026)",1799,220,423,39,1118
"Desocupada (027)",803,82,45,12,664
"Hombres (028)",616,64,31,10,511
"Mujeres (029)",187,18,14,2,153
"No PEA (030)",10892,2401,1490,202,6806
"Hombres (031)",4471,1046,573,92,2764
"Mujeres (032)",6421,1355,917,110,4042
,,,,,
"RURAL (036)",26341,5743,1944,339,18327
"Hombres (037)",13229,2812,1424,208,8793
"Mujeres (038)",13112,2931,520,131,9534
"PEA (039)",10193,1142,1286,141,7629
"Hombres (040)",6714,652,1146,106,4815
"Mujeres (041)",3479,490,140,35,2814
"Ocupada (042)",8968,1034,1269,129,6541
"Hombres (043)",5747,566,1132,95,3959
"Mujeres (044)",3221,468,137,34,2582
"Desocupada (045)",1225,108,17,12,1088
"Hombres (046)",967,86,14,11,856
"Mujeres (047)",258,22,3,1,232
"No PEA (048)",16148,4601,658,198,10698
"Hombres (049)",6515,2160,278,102,3978
"Mujeres (050)",9633,2441,380,96,6720
