"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia HUANCAYO (000)",120502,112552,105067,5533,1952,7950,688,1618,5124,520
"Casa independiente (001)",105740,98628,92062,4762,1804,7112,433,1561,4686,432
"Departamento en edificio (002)",4152,3964,3666,263,35,188,78,18,83,9
"Vivienda en quinta (003)",4188,4056,3819,212,25,132,79,21,27,5
"Vivienda en casa de vecindad (004)",5208,4989,4774,191,24,219,98,18,82,21
"Choza o cabaña (005)",714,480,368,56,56,234,,,186,48
"Vivienda improvisada (006)",275,210,153,49,8,65,,,60,5
"Local no dest.para hab. humana (007)",201,201,201,,,,,,,
"Otro tipo (008)",24,24,24,,,,,,,
,,,,,,,,,,
"URBANA (009)",102258,96944,91631,4435,878,5314,652,1277,3074,311
"Casa independiente (010)",88236,83526,79020,3720,786,4710,397,1220,2822,271
"Departamento en edificio (011)",4152,3964,3666,263,35,188,78,18,83,9
"Vivienda en quinta (012)",4188,4056,3819,212,25,132,79,21,27,5
"Vivienda en casa de vecindad (013)",5208,4989,4774,191,24,219,98,18,82,21
"Vivienda improvisada (015)",275,210,153,49,8,65,,,60,5
"Local no dest.para hab. humana (016)",175,175,175,,,,,,,
"Otro tipo (017)",24,24,24,,,,,,,
,,,,,,,,,,
"RURAL (018)",18244,15608,13436,1098,1074,2636,36,341,2050,209
"Casa independiente (019)",17504,15102,13042,1042,1018,2402,36,341,1864,161
"Choza o cabaña (023)",714,480,368,56,56,234,,,186,48
"Local no dest.para hab. humana (025)",26,26,26,,,,,,,
