"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAROCHIRI (000)",68838,2926,13672,13313,12069,9672,6838,4621,5727
"Quechua (001)",1157,7,35,105,279,307,186,113,125
"Aymara (002)",15,1,11,,1,,,2,
"Ashaninca (003)",15,,3,12,,,,,
"Otra lengua nativa (004)",66,3,14,10,4,16,8,5,6
"Castellano (005)",67429,2914,13599,13159,11724,9321,6633,4490,5589
"Es sordomudo/a (007)",156,1,10,27,61,28,11,11,7
"Hombres (009)",36420,1460,6951,7045,6680,5331,3694,2344,2915
"Quechua (010)",723,7,7,87,190,195,113,67,57
"Aymara (011)",7,,7,,,,,,
"Otra lengua nativa (013)",30,3,5,1,3,9,6,1,2
"Castellano (014)",35581,1449,6925,6944,6453,5110,3571,2273,2856
"Es sordomudo/a (016)",79,1,7,13,34,17,4,3,
"Mujeres (018)",32418,1466,6721,6268,5389,4341,3144,2277,2812
"Quechua (019)",434,,28,18,89,112,73,46,68
"Aymara (020)",8,1,4,,1,,,2,
"Ashaninca (021)",15,,3,12,,,,,
"Otra lengua nativa (022)",36,,9,9,1,7,2,4,4
"Castellano (023)",31848,1465,6674,6215,5271,4211,3062,2217,2733
"Es sordomudo/a (025)",77,,3,14,27,11,7,8,7
,,,,,,,,,
"URBANA (027)",46700,1994,9404,9086,7883,6514,4647,3209,3963
"Quechua (028)",819,7,32,80,173,208,142,90,87
"Aymara (029)",7,1,5,,1,,,,
"Ashaninca (030)",15,,3,12,,,,,
"Otra lengua nativa (031)",59,2,13,5,4,16,8,5,6
"Castellano (032)",45683,1984,9342,8966,7664,6268,4487,3106,3866
"Es sordomudo/a (034)",117,,9,23,41,22,10,8,4
"Hombres (036)",23850,1012,4780,4636,4093,3396,2388,1549,1996
"Quechua (037)",491,7,6,64,114,121,84,55,40
"Aymara (038)",5,,5,,,,,,
"Otra lengua nativa (040)",29,2,5,1,3,9,6,1,2
"Castellano (041)",23269,1003,4758,4560,3958,3252,2294,1490,1954
"Es sordomudo/a (043)",56,,6,11,18,14,4,3,
"Mujeres (045)",22850,982,4624,4450,3790,3118,2259,1660,1967
"Quechua (046)",328,,26,16,59,87,58,35,47
"Aymara (047)",2,1,,,1,,,,
"Ashaninca (048)",15,,3,12,,,,,
"Otra lengua nativa (049)",30,,8,4,1,7,2,4,4
"Castellano (050)",22414,981,4584,4406,3706,3016,2193,1616,1912
"Es sordomudo/a (052)",61,,3,12,23,8,6,5,4
,,,,,,,,,
"RURAL (054)",22138,932,4268,4227,4186,3158,2191,1412,1764
"Quechua (055)",338,,3,25,106,99,44,23,38
"Aymara (056)",8,,6,,,,,2,
"Otra lengua nativa (058)",7,1,1,5,,,,,
"Castellano (059)",21746,930,4257,4193,4060,3053,2146,1384,1723
"Es sordomudo/a (061)",39,1,1,4,20,6,1,3,3
"Hombres (063)",12570,448,2171,2409,2587,1935,1306,795,919
"Quechua (064)",232,,1,23,76,74,29,12,17
"Aymara (065)",2,,2,,,,,,
"Otra lengua nativa (067)",1,1,,,,,,,
"Castellano (068)",12312,446,2167,2384,2495,1858,1277,783,902
"Es sordomudo/a (070)",23,1,1,2,16,3,,,
"Mujeres (072)",9568,484,2097,1818,1599,1223,885,617,845
"Quechua (073)",106,,2,2,30,25,15,11,21
"Aymara (074)",6,,4,,,,,2,
"Otra lengua nativa (076)",6,,1,5,,,,,
"Castellano (077)",9434,484,2090,1809,1565,1195,869,601,821
"Es sordomudo/a (079)",16,,,2,4,3,1,3,3
