"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CANDARAVE (000)",205,31,174
"Sin nivel (001)",6,2,4
"Primaria (003)",56,4,52
"Secundaria (004)",121,22,99
"Superior no univ. incompleta (005)",6,2,4
"Superior no univ. completa (006)",9,,9
"Superior univ. incompleta (007)",2,,2
"Superior univ. completa (008)",5,1,4
"Hombres (010)",168,22,146
"Sin nivel (011)",2,1,1
"Primaria (013)",43,2,41
"Secundaria (014)",104,16,88
"Superior no univ. incompleta (015)",6,2,4
"Superior no univ. completa (016)",6,,6
"Superior univ. incompleta (017)",2,,2
"Superior univ. completa (018)",5,1,4
"Mujeres (020)",37,9,28
"Sin nivel (021)",4,1,3
"Primaria (023)",13,2,11
"Secundaria (024)",17,6,11
"Superior no univ. completa (026)",3,,3
,,,
"AREA URBANA (030)",164,26,138
"Sin nivel (031)",5,2,3
"Primaria (033)",45,3,42
"Secundaria (034)",95,19,76
"Superior no univ. incompleta (035)",5,1,4
"Superior no univ. completa (036)",7,,7
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",5,1,4
"Hombres (040)",130,17,113
"Sin nivel (041)",1,1,
"Primaria (043)",34,1,33
"Secundaria (044)",79,13,66
"Superior no univ. incompleta (045)",5,1,4
"Superior no univ. completa (046)",4,,4
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",5,1,4
"Mujeres (050)",34,9,25
"Sin nivel (051)",4,1,3
"Primaria (053)",11,2,9
"Secundaria (054)",16,6,10
"Superior no univ. completa (056)",3,,3
,,,
"AREA RURAL (060)",41,5,36
"Sin nivel (061)",1,,1
"Primaria (063)",11,1,10
"Secundaria (064)",26,3,23
"Superior no univ. incompleta (065)",1,1,
"Superior no univ. completa (066)",2,,2
"Hombres (070)",38,5,33
"Sin nivel (071)",1,,1
"Primaria (073)",9,1,8
"Secundaria (074)",25,3,22
"Superior no univ. incompleta (075)",1,1,
"Superior no univ. completa (076)",2,,2
"Mujeres (080)",3,,3
"Primaria (083)",2,,2
"Secundaria (084)",1,,1
