"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANTA (000)",29250,692,10717,9800,6417,1624
"Agric., ganadería, caza y silvicultura (001)",17707,395,6406,5540,4144,1222
"Pesca (002)",10,1,4,3,2,
"Explotación de minas y canteras (003)",25,,12,9,4,
"Industrias manufactureras (004)",588,19,222,186,121,40
"Suministro de electricidad, gas y agua (005)",20,,6,7,7,
"Construcción (006)",1028,9,396,402,199,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2939,127,876,1000,775,161
"Venta, mant.y rep. veh.autom.y motoc. (008)",204,4,94,67,34,5
"Comercio al por mayor (009)",108,2,34,30,36,6
"Comercio al por menor (010)",2627,121,748,903,705,150
"Hoteles y restaurantes (011)",683,39,277,212,133,22
"Trans., almac. y comunicaciones (012)",867,14,403,306,132,12
"Intermediación financiera (013)",27,,14,10,3,
"Activid.inmobil., empres. y alquileres (014)",252,2,96,97,51,6
"Admin.pub. y defensa; p. segur.soc afil (015)",549,,162,283,99,5
"Enseñanza (016)",1472,,378,813,271,10
"Servicios sociales y de salud (017)",286,,67,154,62,3
"Otras activ. serv.comun.soc y personales (018)",337,20,134,111,60,12
"Hogares privados con servicio doméstico (019)",345,33,219,55,31,7
"Actividad economica no especificada (021)",770,7,323,220,161,59
"Desocupado (022)",1345,26,722,392,162,43
"Hombres (023)",20117,440,7403,6743,4342,1189
"Agric., ganadería, caza y silvicultura (024)",13634,266,4984,4341,3077,966
"Pesca (025)",9,1,3,3,2,
"Explotación de minas y canteras (026)",24,,11,9,4,
"Industrias manufactureras (027)",421,18,157,128,89,29
"Suministro de electricidad, gas y agua (028)",18,,5,7,6,
"Construcción (029)",968,6,372,378,191,21
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1218,72,398,375,305,68
"Venta, mant.y rep. veh.autom.y motoc. (031)",183,4,89,59,28,3
"Comercio al por mayor (032)",50,,18,15,14,3
"Comercio al por menor (033)",985,68,291,301,263,62
"Hoteles y restaurantes (034)",169,17,71,62,16,3
"Trans., almac. y comunicaciones (035)",827,13,377,298,129,10
"Intermediación financiera (036)",16,,5,8,3,
"Activid.inmobil., empres. y alquileres (037)",182,1,59,75,41,6
"Admin.pub. y defensa; p. segur.soc afil (038)",389,,96,210,79,4
"Enseñanza (039)",657,,122,368,158,9
"Servicios sociales y de salud (040)",120,,29,60,28,3
