"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BONGARA (000)",23995,5864,7166,5521,3724,1720
"Hombres (001)",12409,3007,3809,2850,1950,793
"Mujeres (002)",11586,2857,3357,2671,1774,927
"PEA (003)",10293,231,3456,3567,2345,694
"Hombres (004)",7692,183,2669,2581,1739,520
"Mujeres (005)",2601,48,787,986,606,174
"Ocupada (006)",10037,216,3324,3495,2315,687
"Hombres (007)",7505,173,2573,2528,1716,515
"Mujeres (008)",2532,43,751,967,599,172
"Desocupada (009)",256,15,132,72,30,7
"Hombres (010)",187,10,96,53,23,5
"Mujeres (011)",69,5,36,19,7,2
"No PEA (012)",13702,5633,3710,1954,1379,1026
"Hombres (013)",4717,2824,1140,269,211,273
"Mujeres (014)",8985,2809,2570,1685,1168,753
,,,,,,
"URBANA (018)",14569,3353,4194,3521,2393,1108
"Hombres (019)",7463,1720,2214,1780,1252,497
"Mujeres (020)",7106,1633,1980,1741,1141,611
"PEA (021)",6448,115,1971,2386,1562,414
"Hombres (022)",4484,90,1412,1599,1092,291
"Mujeres (023)",1964,25,559,787,470,123
"Ocupada (024)",6248,104,1870,2332,1535,407
"Hombres (025)",4341,83,1342,1558,1072,286
"Mujeres (026)",1907,21,528,774,463,121
"Desocupada (027)",200,11,101,54,27,7
"Hombres (028)",143,7,70,41,20,5
"Mujeres (029)",57,4,31,13,7,2
"No PEA (030)",8121,3238,2223,1135,831,694
"Hombres (031)",2979,1630,802,181,160,206
"Mujeres (032)",5142,1608,1421,954,671,488
,,,,,,
"RURAL (036)",9426,2511,2972,2000,1331,612
"Hombres (037)",4946,1287,1595,1070,698,296
"Mujeres (038)",4480,1224,1377,930,633,316
"PEA (039)",3845,116,1485,1181,783,280
"Hombres (040)",3208,93,1257,982,647,229
"Mujeres (041)",637,23,228,199,136,51
"Ocupada (042)",3789,112,1454,1163,780,280
"Hombres (043)",3164,90,1231,970,644,229
"Mujeres (044)",625,22,223,193,136,51
"Desocupada (045)",56,4,31,18,3,
"Hombres (046)",44,3,26,12,3,
"Mujeres (047)",12,1,5,6,,
"No PEA (048)",5581,2395,1487,819,548,332
"Hombres (049)",1738,1194,338,88,51,67
"Mujeres (050)",3843,1201,1149,731,497,265
