"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",15421,1496,9,6840,3324,721,1714,321,996
"Empleado (001)",2343,28,,125,375,223,755,144,693
"Obrero (002)",4087,225,4,1196,1421,300,656,117,168
"Trabajador independiente (003)",6874,924,3,4285,1092,153,245,53,119
"Empleador o patrono (004)",96,29,,28,20,4,7,2,6
"Trabajador familiar no remunerado (005)",1706,223,2,1032,357,35,44,4,9
"Trabajador del hogar (006)",315,67,,174,59,6,7,1,1
"Hombres (008)",12687,1018,8,5913,2875,581,1328,252,712
"Empleado (009)",1588,11,,80,287,160,490,100,460
"Obrero (010)",3846,174,4,1119,1362,291,629,113,154
"Trabajador independiente (011)",5890,709,3,3879,901,102,177,34,85
"Empleador o patrono (012)",82,21,,24,20,4,7,1,5
"Trabajador familiar no remunerado (013)",1269,100,1,807,301,23,25,4,8
"Trabajador del hogar (014)",12,3,,4,4,1,,,
"Mujeres (016)",2734,478,1,927,449,140,386,69,284
"Empleado (017)",755,17,,45,88,63,265,44,233
"Obrero (018)",241,51,,77,59,9,27,4,14
"Trabajador independiente (019)",984,215,,406,191,51,68,19,34
"Empleador o patrono (020)",14,8,,4,,,,1,1
"Trabajador familiar no remunerado (021)",437,123,1,225,56,12,19,,1
"Trabajador del hogar (022)",303,64,,170,55,5,7,1,1
,,,,,,,,,
"URBANA (024)",5261,319,6,1333,1489,411,932,172,599
"Empleado (025)",1557,17,,71,261,157,511,98,442
"Obrero (026)",1680,100,2,500,673,120,203,34,48
"Trabajador independiente (027)",1603,152,2,585,438,106,182,37,101
"Empleador o patrono (028)",25,1,,10,6,3,1,2,2
"Trabajador familiar no remunerado (029)",259,25,2,105,73,20,29,,5
"Trabajador del hogar (030)",137,24,,62,38,5,6,1,1
"Hombres (032)",3651,142,5,970,1162,293,602,112,365
"Empleado (033)",925,7,,38,190,101,276,61,252
"Obrero (034)",1565,76,2,466,636,119,194,31,41
"Trabajador independiente (035)",991,48,2,395,281,58,121,19,67
"Empleador o patrono (036)",20,,,8,6,3,1,1,1
"Trabajador familiar no remunerado (037)",143,9,1,61,47,11,10,,4
"Trabajador del hogar (038)",7,2,,2,2,1,,,
"Mujeres (040)",1610,177,1,363,327,118,330,60,234
"Empleado (041)",632,10,,33,71,56,235,37,190
"Obrero (042)",115,24,,34,37,1,9,3,7
"Trabajador independiente (043)",612,104,,190,157,48,61,18,34
"Empleador o patrono (044)",5,1,,2,,,,1,1
"Trabajador familiar no remunerado (045)",116,16,1,44,26,9,19,,1
"Trabajador del hogar (046)",130,22,,60,36,4,6,1,1
,,,,,,,,,
"RURAL (048)",10160,1177,3,5507,1835,310,782,149,397
"Empleado (049)",786,11,,54,114,66,244,46,251
"Obrero (050)",2407,125,2,696,748,180,453,83,120
"Trabajador independiente (051)",5271,772,1,3700,654,47,63,16,18
"Empleador o patrono (052)",71,28,,18,14,1,6,,4
"Trabajador familiar no remunerado (053)",1447,198,,927,284,15,15,4,4
"Trabajador del hogar (054)",178,43,,112,21,1,1,,
"Hombres (056)",9036,876,3,4943,1713,288,726,140,347
"Empleado (057)",663,4,,42,97,59,214,39,208
"Obrero (058)",2281,98,2,653,726,172,435,82,113
"Trabajador independiente (059)",4899,661,1,3484,620,44,56,15,18
"Empleador o patrono (060)",62,21,,16,14,1,6,,4
"Trabajador familiar no remunerado (061)",1126,91,,746,254,12,15,4,4
"Trabajador del hogar (062)",5,1,,2,2,,,,
"Mujeres (064)",1124,301,,564,122,22,56,9,50
"Empleado (065)",123,7,,12,17,7,30,7,43
"Obrero (066)",126,27,,43,22,8,18,1,7
"Trabajador independiente (067)",372,111,,216,34,3,7,1,
"Empleador o patrono (068)",9,7,,2,,,,,
"Trabajador familiar no remunerado (069)",321,107,,181,30,3,,,
"Trabajador del hogar (070)",173,42,,110,19,1,1,,
