"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SAN MIGUEL (000)",53034,19640,2764,486,30188
"Quechua (001)",36,10,7,2,18
"Aymara (002)",15,8,1,6,4
"Asháninka (003)",11,9,,2,1
"Otra lengua nativa (004)",5,3,1,2,1
"Castellano (005)",52876,19574,2755,472,30111
"Idioma Extranjero (006)",3,,,2,1
"Es Sordomudo/a (007)",88,36,,,52
"Hombres (009)",26156,9341,1391,290,15165
"Quechua (010)",19,5,7,2,6
"Aymara (011)",4,2,,1,2
"Asháninka (012)",8,6,,2,1
"Otra lengua nativa (013)",3,2,1,1,
"Castellano (014)",26081,9310,1383,284,15131
"Es Sordomudo/a (016)",41,16,,,25
"Mujeres (018)",26878,10299,1373,196,15023
"Quechua (019)",17,5,,,12
"Aymara (020)",11,6,1,5,2
"Asháninka (021)",3,3,,,
"Otra lengua nativa (022)",2,1,,1,1
"Castellano (023)",26795,10264,1372,188,14980
"Idioma Extranjero (024)",3,,,2,1
"Es Sordomudo/a (025)",47,20,,,27
,,,,,
"URBANA (027)",8625,2116,1513,233,4772
"Quechua (028)",8,2,2,,4
"Aymara (029)",3,2,1,1,
"Asháninka (030)",1,,,1,
"Otra lengua nativa (031)",2,,1,,1
"Castellano (032)",8596,2110,1509,229,4756
"Idioma Extranjero (033)",3,,,2,1
"Es Sordomudo/a (034)",12,2,,,10
"Hombres (036)",4315,1022,720,146,2434
"Quechua (037)",5,1,2,,2
"Asháninka (039)",1,,,1,
"Otra lengua nativa (040)",1,,1,,
"Castellano (041)",4302,1019,717,145,2428
"Es Sordomudo/a (043)",6,2,,,4
"Mujeres (045)",4310,1094,793,87,2338
"Quechua (046)",3,1,,,2
"Aymara (047)",3,2,1,1,
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",4294,1091,792,84,2328
"Idioma Extranjero (051)",3,,,2,1
"Es Sordomudo/a (052)",6,,,,6
,,,,,
"RURAL (054)",44409,17524,1251,253,25416
"Quechua (055)",28,8,5,2,14
"Aymara (056)",12,6,,5,4
"Asháninka (057)",10,9,,1,1
"Otra lengua nativa (058)",3,3,,2,
"Castellano (059)",44280,17464,1246,243,25355
"Es Sordomudo/a (061)",76,34,,,42
"Hombres (063)",21841,8319,671,144,12731
"Quechua (064)",14,4,5,2,4
"Aymara (065)",4,2,,1,2
"Asháninka (066)",7,6,,1,1
"Otra lengua nativa (067)",2,2,,1,
"Castellano (068)",21779,8291,666,139,12703
"Es Sordomudo/a (070)",35,14,,,21
"Mujeres (072)",22568,9205,580,109,12685
"Quechua (073)",14,4,,,10
"Aymara (074)",8,4,,4,2
"Asháninka (075)",3,3,,,
"Otra lengua nativa (076)",1,1,,1,
"Castellano (077)",22501,9173,580,104,12652
"Es Sordomudo/a (079)",41,20,,,21
