"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCANE (000)",716,705,11
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",4,4,
"Hospital, clinica (004)",82,82,
"Cárcel, centro de readaptación social (005)",28,28,
"Otro (008)",230,220,10
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",372,371,1
