"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ILO (000)",18164,167,4933,5966,2911,1113,443,101,23,,2507
"Catolica (001)",15018,142,4022,4899,2433,969,382,84,17,,2070
"Cristiana / Evangelica (002)",1613,14,468,524,258,77,33,11,2,,226
"Otra (003)",1070,9,297,383,155,52,23,5,4,,142
"Ninguna (004)",463,2,146,160,65,15,5,1,,,69
,,,,,,,,,,,
"URBANA (006)",18089,167,4913,5937,2898,1109,443,100,23,,2499
"Catolica (007)",14946,142,4003,4872,2420,965,382,83,17,,2062
"Cristiana / Evangelica (008)",1612,14,468,523,258,77,33,11,2,,226
"Otra (009)",1069,9,297,382,155,52,23,5,4,,142
"Ninguna (010)",462,2,145,160,65,15,5,1,,,69
,,,,,,,,,,,
"RURAL (012)",75,,20,29,13,4,,1,,,8
"Catolica (013)",72,,19,27,13,4,,1,,,8
"Cristiana / Evangelica (014)",1,,,1,,,,,,,
"Otra (015)",1,,,1,,,,,,,
"Ninguna (016)",1,,1,,,,,,,,
