"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAMAS (000)",57020,13853,4299,1710,37279
"Conviviente (001)",19045,4035,1062,460,13518
"Separado(a) (002)",1046,192,78,36,746
"Casado(a) (003)",15556,3281,1757,603,9971
"Viudo(a) (004)",1758,329,105,44,1284
"Divorciado(a) (005)",100,12,20,4,65
"Soltero(a) (006)",19515,6004,1277,563,11695
"Hombres (008)",30359,6654,2136,967,20667
"Conviviente (009)",9417,1670,503,265,6992
"Separado(a) (010)",427,46,31,15,336
"Casado(a) (011)",7749,1483,898,331,5076
"Viudo(a) (012)",458,65,29,9,357
"Divorciado(a) (013)",47,6,6,2,33
"Soltero(a) (014)",12261,3384,669,345,7873
"Mujeres (016)",26661,7199,2163,743,16612
"Conviviente (017)",9628,2365,559,195,6526
"Separado(a) (018)",619,146,47,21,410
"Casado(a) (019)",7807,1798,859,272,4895
"Viudo(a) (020)",1300,264,76,35,927
"Divorciado(a) (021)",53,6,14,2,32
"Soltero(a) (022)",7254,2620,608,218,3822
,,,,,
"URBANA (024)",28728,8067,3471,1274,16010
"Conviviente (025)",8708,2328,804,311,5288
"Separado(a) (026)",599,143,66,29,364
"Casado(a) (027)",8169,1888,1470,436,4420
"Viudo(a) (028)",976,221,90,38,630
"Divorciado(a) (029)",57,8,17,3,30
"Soltero(a) (030)",10219,3479,1024,457,5278
"Hombres (032)",14789,3800,1705,730,8602
"Conviviente (033)",4234,980,391,185,2687
"Separado(a) (034)",225,30,26,12,158
"Casado(a) (035)",4032,851,731,245,2236
"Viudo(a) (036)",239,48,23,7,162
"Divorciado(a) (037)",24,4,5,2,13
"Soltero(a) (038)",6035,1887,529,279,3346
"Mujeres (040)",13939,4267,1766,544,7408
"Conviviente (041)",4474,1348,413,126,2601
"Separado(a) (042)",374,113,40,17,206
"Casado(a) (043)",4137,1037,739,191,2184
"Viudo(a) (044)",737,173,67,31,468
"Divorciado(a) (045)",33,4,12,1,17
"Soltero(a) (046)",4184,1592,495,178,1932
,,,,,
"RURAL (048)",28292,5786,828,436,21269
"Conviviente (049)",10337,1707,258,149,8230
"Separado(a) (050)",447,49,12,7,382
"Casado(a) (051)",7387,1393,287,167,5551
"Viudo(a) (052)",782,108,15,6,654
"Divorciado(a) (053)",43,4,3,1,35
"Soltero(a) (054)",9296,2525,253,106,6417
"Hombres (056)",15570,2854,431,237,12065
"Conviviente (057)",5183,690,112,80,4305
"Separado(a) (058)",202,16,5,3,178
"Casado(a) (059)",3717,632,167,86,2840
"Viudo(a) (060)",219,17,6,2,195
"Divorciado(a) (061)",23,2,1,,20
"Soltero(a) (062)",6226,1497,140,66,4527
"Mujeres (064)",12722,2932,397,199,9204
"Conviviente (065)",5154,1017,146,69,3925
"Separado(a) (066)",245,33,7,4,204
"Casado(a) (067)",3670,761,120,81,2711
"Viudo(a) (068)",563,91,9,4,459
"Divorciado(a) (069)",20,2,2,1,15
"Soltero(a) (070)",3070,1028,113,40,1890
