"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ICA (000)",5314,1174,4140
"De 14 a 29 años (001)",2801,928,1873
"De 30 a 44 años (002)",1503,214,1289
"De 45 a 64 años (003)",840,32,808
"De 65 y más años (004)",170,,170
"Hombres (005)",3036,550,2486
"De 14 a 29 años (006)",1517,440,1077
"De 30 a 44 años (007)",815,95,720
"De 45 a 64 años (008)",559,15,544
"De 65 y más años (009)",145,,145
"Mujeres (010)",2278,624,1654
"De 14 a 29 años (011)",1284,488,796
"De 30 a 44 años (012)",688,119,569
"De 45 a 64 años (013)",281,17,264
"De 65 y más años (014)",25,,25
,,,
"AREA URBANA (015)",4869,1067,3802
"De 14 a 29 años (016)",2579,843,1736
"De 30 a 44 años (017)",1382,196,1186
"De 45 a 64 años (018)",762,28,734
"De 65 y más años (019)",146,,146
"Hombres (020)",2761,509,2252
"De 14 a 29 años (021)",1405,408,997
"De 30 a 44 años (022)",738,87,651
"De 45 a 64 años (023)",494,14,480
"De 65 y más años (024)",124,,124
"Mujeres (025)",2108,558,1550
"De 14 a 29 años (026)",1174,435,739
"De 30 a 44 años (027)",644,109,535
"De 45 a 64 años (028)",268,14,254
"De 65 y más años (029)",22,,22
,,,
"AREA RURAL (030)",445,107,338
"De 14 a 29 años (031)",222,85,137
"De 30 a 44 años (032)",121,18,103
"De 45 a 64 años (033)",78,4,74
"De 65 y más años (034)",24,,24
"Hombres (035)",275,41,234
"De 14 a 29 años (036)",112,32,80
"De 30 a 44 años (037)",77,8,69
"De 45 a 64 años (038)",65,1,64
"De 65 y más años (039)",21,,21
"Mujeres (040)",170,66,104
"De 14 a 29 años (041)",110,53,57
"De 30 a 44 años (042)",44,10,34
"De 45 a 64 años (043)",13,3,10
"De 65 y más años (044)",3,,3
