"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia DATEM DEL MARAÑON (000)",318,22,181,75,34,6
"Conviviente (001)",150,1,74,53,20,2
"Separado(a) (002)",5,1,1,2,,1
"Casado(a) (003)",29,,6,10,10,3
"Viudo(a) (004)",3,,,,3,
"Divorciado(a) (005)",1,,,,1,
"Soltero(a) (006)",130,20,100,10,,
"Hombres (008)",267,15,146,70,30,6
"Conviviente (009)",131,1,59,50,19,2
"Separado(a) (010)",3,,1,1,,1
"Casado(a) (011)",24,,4,9,8,3
"Viudo(a) (012)",2,,,,2,
"Divorciado(a) (013)",1,,,,1,
"Soltero(a) (014)",106,14,82,10,,
"Mujeres (016)",51,7,35,5,4,
"Conviviente (017)",19,,15,3,1,
"Separado(a) (018)",2,1,,1,,
"Casado(a) (019)",5,,2,1,2,
"Viudo(a) (020)",1,,,,1,
"Soltero(a) (022)",24,6,18,,,
,,,,,,
"AREA URBANA (024)",159,10,86,32,25,6
"Conviviente (025)",65,,30,21,12,2
"Separado(a) (026)",3,1,,1,,1
"Casado(a) (027)",23,,6,5,9,3
"Viudo(a) (028)",3,,,,3,
"Divorciado(a) (029)",1,,,,1,
"Soltero(a) (030)",64,9,50,5,,
"Hombres (032)",126,7,63,29,21,6
"Conviviente (033)",53,,21,19,11,2
"Separado(a) (034)",1,,,,,1
"Casado(a) (035)",19,,4,5,7,3
"Viudo(a) (036)",2,,,,2,
"Divorciado(a) (037)",1,,,,1,
"Soltero(a) (038)",50,7,38,5,,
"Mujeres (040)",33,3,23,3,4,
"Conviviente (041)",12,,9,2,1,
"Separado(a) (042)",2,1,,1,,
"Casado(a) (043)",4,,2,,2,
"Viudo(a) (044)",1,,,,1,
"Soltero(a) (046)",14,2,12,,,
,,,,,,
"AREA RURAL (048)",159,12,95,43,9,
"Conviviente (049)",85,1,44,32,8,
"Separado(a) (050)",2,,1,1,,
"Casado(a) (051)",6,,,5,1,
"Soltero(a) (054)",66,11,50,5,,
"Hombres (056)",141,8,83,41,9,
"Conviviente (057)",78,1,38,31,8,
"Separado(a) (058)",2,,1,1,,
"Casado(a) (059)",5,,,4,1,
"Soltero(a) (062)",56,7,44,5,,
"Mujeres (064)",18,4,12,2,,
"Conviviente (065)",7,,6,1,,
"Casado(a) (067)",1,,,1,,
"Soltero(a) (070)",10,4,6,,,
