"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHEPEN (000)",67364,13991,19471,15757,12385,5760
"Hombres (001)",33530,7124,9771,7521,6168,2946
"Mujeres (002)",33834,6867,9700,8236,6217,2814
"PEA (003)",28406,497,9123,10200,7231,1355
"Hombres (004)",20310,362,6620,6987,5243,1098
"Mujeres (005)",8096,135,2503,3213,1988,257
"Ocupada (006)",26640,461,8257,9706,6926,1290
"Hombres (007)",18992,334,6030,6613,4976,1039
"Mujeres (008)",7648,127,2227,3093,1950,251
"Desocupada (009)",1766,36,866,494,305,65
"Hombres (010)",1318,28,590,374,267,59
"Mujeres (011)",448,8,276,120,38,6
"No PEA (012)",38958,13494,10348,5557,5154,4405
"Hombres (013)",13220,6762,3151,534,925,1848
"Mujeres (014)",25738,6732,7197,5023,4229,2557
,,,,,,
"URBANA (018)",55320,11258,15784,13131,10301,4846
"Hombres (019)",27157,5680,7816,6168,5059,2434
"Mujeres (020)",28163,5578,7968,6963,5242,2412
"PEA (021)",23706,389,7350,8703,6145,1119
"Hombres (022)",16360,279,5141,5748,4305,887
"Mujeres (023)",7346,110,2209,2955,1840,232
"Ocupada (024)",22281,362,6650,8308,5897,1064
"Hombres (025)",15338,259,4692,5461,4090,836
"Mujeres (026)",6943,103,1958,2847,1807,228
"Desocupada (027)",1425,27,700,395,248,55
"Hombres (028)",1022,20,449,287,215,51
"Mujeres (029)",403,7,251,108,33,4
"No PEA (030)",31614,10869,8434,4428,4156,3727
"Hombres (031)",10797,5401,2675,420,754,1547
"Mujeres (032)",20817,5468,5759,4008,3402,2180
,,,,,,
"RURAL (036)",12044,2733,3687,2626,2084,914
"Hombres (037)",6373,1444,1955,1353,1109,512
"Mujeres (038)",5671,1289,1732,1273,975,402
"PEA (039)",4700,108,1773,1497,1086,236
"Hombres (040)",3950,83,1479,1239,938,211
"Mujeres (041)",750,25,294,258,148,25
"Ocupada (042)",4359,99,1607,1398,1029,226
"Hombres (043)",3654,75,1338,1152,886,203
"Mujeres (044)",705,24,269,246,143,23
"Desocupada (045)",341,9,166,99,57,10
"Hombres (046)",296,8,141,87,52,8
"Mujeres (047)",45,1,25,12,5,2
"No PEA (048)",7344,2625,1914,1129,998,678
"Hombres (049)",2423,1361,476,114,171,301
"Mujeres (050)",4921,1264,1438,1015,827,377
