"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CASTROVIRREYNA (000)",8370,1353,2740,2115,2162
"Asiste actualmente (001)",5987,736,2633,1958,660
"No asiste (002)",2383,617,107,157,1502
"Hombres (004)",4337,689,1376,1061,1211
"Asiste actualmente (005)",3069,383,1325,989,372
"No asiste (006)",1268,306,51,72,839
"Mujeres (008)",4033,664,1364,1054,951
"Asiste actualmente (009)",2918,353,1308,969,288
"No asiste (010)",1115,311,56,85,663
,,,,,
"URBANA (012)",2431,331,699,641,760
"Asiste actualmente (013)",1722,209,674,591,248
"No asiste (014)",709,122,25,50,512
"Hombres (016)",1270,168,350,305,447
"Asiste actualmente (017)",869,106,343,281,139
"No asiste (018)",401,62,7,24,308
"Mujeres (020)",1161,163,349,336,313
"Asiste actualmente (021)",853,103,331,310,109
"No asiste (022)",308,60,18,26,204
,,,,,
"RURAL (024)",5939,1022,2041,1474,1402
"Asiste actualmente (025)",4265,527,1959,1367,412
"No asiste (026)",1674,495,82,107,990
"Hombres (028)",3067,521,1026,756,764
"Asiste actualmente (029)",2200,277,982,708,233
"No asiste (030)",867,244,44,48,531
"Mujeres (032)",2872,501,1015,718,638
"Asiste actualmente (033)",2065,250,977,659,179
"No asiste (034)",807,251,38,59,459
