"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia CONDESUYOS",,,,
"Viviendas particulares (001)",2603,1894,399,310
"Ocupantes presentes (002)",8274,6270,1143,861
"Casa independiente",,,,
"Viviendas particulares (004)",2519,1869,358,292
"Ocupantes presentes (005)",8044,6214,1038,792
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",12,5,7,
"Ocupantes presentes (011)",38,5,33,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",48,10,29,9
"Ocupantes presentes (014)",122,28,62,32
"Choza o cabaña",,,,
"Viviendas particulares (016)",7,,,7
"Ocupantes presentes (017)",33,,,33
"Vivienda improvisada",,,,
"Viviendas particulares (019)",12,7,3,2
"Ocupantes presentes (020)",30,18,8,4
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",5,3,2,
"Ocupantes presentes (023)",7,5,2,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",2395,1781,373,241
"Ocupantes presentes (029)",7636,5934,1081,621
"Casa independiente",,,,
"Viviendas particulares (031)",2329,1762,333,234
"Ocupantes presentes (032)",7469,5895,979,595
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",8,1,7,
"Ocupantes presentes (038)",34,1,33,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",40,8,29,3
"Ocupantes presentes (041)",92,15,62,15
"Choza o cabaña",,,,
"Viviendas particulares (043)",2,,,2
"Ocupantes presentes (044)",7,,,7
"Vivienda improvisada",,,,
"Viviendas particulares (046)",11,7,2,2
"Ocupantes presentes (047)",27,18,5,4
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",5,3,2,
"Ocupantes presentes (050)",7,5,2,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",208,113,26,69
"Ocupantes presentes (056)",638,336,62,240
"Casa independiente",,,,
"Viviendas particulares (058)",190,107,25,58
"Ocupantes presentes (059)",575,319,59,197
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",4,4,,
"Ocupantes presentes (065)",4,4,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",8,2,,6
"Ocupantes presentes (068)",30,13,,17
"Choza o cabaña",,,,
"Viviendas particulares (070)",5,,,5
"Ocupantes presentes (071)",26,,,26
"Vivienda improvisada",,,,
"Viviendas particulares (073)",1,,1,
"Ocupantes presentes (074)",3,,3,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",2038,1495,340,203
"Ocupantes presentes (110)",6370,4875,962,533
"Casa independiente",,,,
"Viviendas particulares (112)",1961,1470,299,192
"Ocupantes presentes (113)",6173,4819,857,497
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",12,5,7,
"Ocupantes presentes (119)",38,5,33,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",48,10,29,9
"Ocupantes presentes (122)",122,28,62,32
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",12,7,3,2
"Ocupantes presentes (128)",30,18,8,4
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",5,3,2,
"Ocupantes presentes (131)",7,5,2,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",1876,1406,315,155
"Ocupantes presentes (137)",5889,4612,901,376
"Casa independiente",,,,
"Viviendas particulares (139)",1812,1387,275,150
"Ocupantes presentes (140)",5729,4573,799,357
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",8,1,7,
"Ocupantes presentes (146)",34,1,33,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",40,8,29,3
"Ocupantes presentes (149)",92,15,62,15
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",11,7,2,2
"Ocupantes presentes (155)",27,18,5,4
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",5,3,2,
"Ocupantes presentes (158)",7,5,2,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",162,89,25,48
"Ocupantes presentes (164)",481,263,61,157
"Casa independiente",,,,
"Viviendas particulares (166)",149,83,24,42
"Ocupantes presentes (167)",444,246,58,140
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",4,4,,
"Ocupantes presentes (173)",4,4,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",8,2,,6
"Ocupantes presentes (176)",30,13,,17
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",1,,1,
"Ocupantes presentes (182)",3,,3,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",565,399,59,107
"Ocupantes presentes (218)",1904,1395,181,328
"Casa independiente",,,,
"Viviendas particulares (220)",558,399,59,100
"Ocupantes presentes (221)",1871,1395,181,295
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",7,,,7
"Ocupantes presentes (233)",33,,,33
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",519,375,58,86
"Ocupantes presentes (245)",1747,1322,180,245
"Casa independiente",,,,
"Viviendas particulares (247)",517,375,58,84
"Ocupantes presentes (248)",1740,1322,180,238
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",2,,,2
"Ocupantes presentes (260)",7,,,7
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",46,24,1,21
"Ocupantes presentes (272)",157,73,1,83
"Casa independiente",,,,
"Viviendas particulares (274)",41,24,1,16
"Ocupantes presentes (275)",131,73,1,57
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",5,,,5
"Ocupantes presentes (287)",26,,,26
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
