"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUANCABAMBA (000)",124298,3046,46081,29102,20371,17358,8340
"Hombres (001)",62396,1540,23480,14773,9998,8546,4059
"Mujeres (002)",61902,1506,22601,14329,10373,8812,4281
"Viviendas particulares (003)",123735,3038,46019,28919,20183,17250,8326
"Hombres (004)",61993,1537,23451,14648,9849,8459,4049
"Mujeres (005)",61742,1501,22568,14271,10334,8791,4277
"Viviendas colectivas (006)",459,7,55,146,163,79,9
"Hombres (007)",340,2,26,102,136,68,6
"Mujeres (008)",119,5,29,44,27,11,3
"Otro tipo (009)",104,1,7,37,25,29,5
"Hombres (010)",63,1,3,23,13,19,4
"Mujeres (011)",41,,4,14,12,10,1
,,,,,,,
"URBANA (012)",15358,247,4587,3906,3210,2351,1057
"Hombres (013)",7598,128,2412,1865,1527,1150,516
"Mujeres (014)",7760,119,2175,2041,1683,1201,541
"Viviendas particulares (015)",15078,243,4566,3802,3123,2299,1045
"Hombres (016)",7433,126,2402,1810,1472,1116,507
"Mujeres (017)",7645,117,2164,1992,1651,1183,538
"Viviendas colectivas (018)",178,3,14,69,62,23,7
"Hombres (019)",103,1,7,33,42,15,5
"Mujeres (020)",75,2,7,36,20,8,2
"Otro tipo (021)",102,1,7,35,25,29,5
"Hombres (022)",62,1,3,22,13,19,4
"Mujeres (023)",40,,4,13,12,10,1
,,,,,,,
"RURAL (024)",108940,2799,41494,25196,17161,15007,7283
"Hombres (025)",54798,1412,21068,12908,8471,7396,3543
"Mujeres (026)",54142,1387,20426,12288,8690,7611,3740
"Viviendas particulares (027)",108657,2795,41453,25117,17060,14951,7281
"Hombres (028)",54560,1411,21049,12838,8377,7343,3542
"Mujeres (029)",54097,1384,20404,12279,8683,7608,3739
"Viviendas colectivas (030)",281,4,41,77,101,56,2
"Hombres (031)",237,1,19,69,94,53,1
"Mujeres (032)",44,3,22,8,7,3,1
"Otro tipo (033)",2,,,2,,,
"Hombres (034)",1,,,1,,,
"Mujeres (035)",1,,,1,,,
