"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CONDORCANQUI (000)",25100,4963,8647,5406,6084
"Asiste actualmente (001)",13201,997,7185,4024,995
"No asiste (002)",11899,3966,1462,1382,5089
"Hombres (004)",12399,2424,4396,2655,2924
"Asiste actualmente (005)",6966,468,3699,2131,668
"No asiste (006)",5433,1956,697,524,2256
"Mujeres (008)",12701,2539,4251,2751,3160
"Asiste actualmente (009)",6235,529,3486,1893,327
"No asiste (010)",6466,2010,765,858,2833
,,,,,
"URBANA (012)",3768,548,1126,1078,1016
"Asiste actualmente (013)",2533,198,1036,951,348
"No asiste (014)",1235,350,90,127,668
"Hombres (016)",1896,247,551,563,535
"Asiste actualmente (017)",1349,88,508,518,235
"No asiste (018)",547,159,43,45,300
"Mujeres (020)",1872,301,575,515,481
"Asiste actualmente (021)",1184,110,528,433,113
"No asiste (022)",688,191,47,82,368
,,,,,
"RURAL (024)",21332,4415,7521,4328,5068
"Asiste actualmente (025)",10668,799,6149,3073,647
"No asiste (026)",10664,3616,1372,1255,4421
"Hombres (028)",10503,2177,3845,2092,2389
"Asiste actualmente (029)",5617,380,3191,1613,433
"No asiste (030)",4886,1797,654,479,1956
"Mujeres (032)",10829,2238,3676,2236,2679
"Asiste actualmente (033)",5051,419,2958,1460,214
"No asiste (034)",5778,1819,718,776,2465
