"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CUSCO (000)",105211,829,25977,31428,15920,6012,2387,588,100,,21970
"Conviviente (001)",32161,271,9938,11418,4541,1367,497,103,8,,4018
"Separado(a) (002)",6461,71,1928,2220,1128,434,164,38,2,,476
"Casado(a) (003)",38853,293,9836,13063,7717,3003,1109,259,51,,3522
"Viudo(a) (004)",7761,134,2545,2313,1070,463,253,100,23,,860
"Divorciado(a) (005)",1622,15,409,507,311,121,46,15,3,,195
"Soltero(a) (006)",18353,45,1321,1907,1153,624,318,73,13,,12899
,,,,,,,,,,,
"URBANA (008)",101222,760,24296,30185,15568,5891,2349,571,98,,21504
"Conviviente (009)",30813,247,9349,10973,4439,1327,490,97,8,,3883
"Separado(a) (010)",6305,63,1851,2177,1116,430,164,38,2,,464
"Casado(a) (011)",37046,264,9026,12470,7543,2951,1091,255,50,,3396
"Viudo(a) (012)",7271,128,2366,2175,1013,440,242,94,23,,790
"Divorciado(a) (013)",1610,15,405,502,310,121,45,15,3,,194
"Soltero(a) (014)",18177,43,1299,1888,1147,622,317,72,12,,12777
,,,,,,,,,,,
"RURAL (016)",3989,69,1681,1243,352,121,38,17,2,,466
"Conviviente (017)",1348,24,589,445,102,40,7,6,,,135
"Separado(a) (018)",156,8,77,43,12,4,,,,,12
"Casado(a) (019)",1807,29,810,593,174,52,18,4,1,,126
"Viudo(a) (020)",490,6,179,138,57,23,11,6,,,70
"Divorciado(a) (021)",12,,4,5,1,,1,,,,1
"Soltero(a) (022)",176,2,22,19,6,2,1,1,1,,122
