"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LUCANAS (000)",23580,18693,2541,1288,1058
"Empleado (001)",3480,1053,891,751,785
"Obrero (002)",4506,2967,764,506,269
"Trabajador independiente (003)",12012,11312,700,,
"Empleador o patrono (004)",194,159,21,13,1
"Trabajador familiar no remunerado (005)",3112,2926,165,18,3
"Trabajador del hogar (006)",276,276,,,
"De 06 a 14 años (008)",433,401,31,1,
"Empleado (009)",12,11,1,,
"Obrero (010)",38,33,4,1,
"Trabajador independiente (011)",60,51,9,,
"Trabajador familiar no remunerado (013)",312,295,17,,
"Trabajador del hogar (014)",11,11,,,
"De 15 a 29 años (016)",6391,4849,881,413,248
"Empleado (017)",822,369,185,126,142
"Obrero (018)",1823,1073,372,273,105
"Trabajador independiente (019)",2551,2296,255,,
"Empleador o patrono (020)",54,43,7,4,
"Trabajador familiar no remunerado (021)",980,907,62,10,1
"Trabajador del hogar (022)",161,161,,,
"De 30 a 44 años (024)",7729,5665,1011,552,501
"Empleado (025)",1716,466,472,392,386
"Obrero (026)",1420,914,241,152,113
"Trabajador independiente (027)",3764,3511,253,,
"Empleador o patrono (028)",53,41,8,3,1
"Trabajador familiar no remunerado (029)",709,666,37,5,1
"Trabajador del hogar (030)",67,67,,,
"De 45 a 64 años (032)",6186,5069,526,302,289
"Empleado (033)",882,186,226,225,245
"Obrero (034)",939,701,126,69,43
"Trabajador independiente (035)",3549,3418,131,,
"Empleador o patrono (036)",57,47,4,6,
"Trabajador familiar no remunerado (037)",732,690,39,2,1
"Trabajador del hogar (038)",27,27,,,
"De 65 y más años (040)",2841,2709,92,20,20
"Empleado (041)",48,21,7,8,12
"Obrero (042)",286,246,21,11,8
"Trabajador independiente (043)",2088,2036,52,,
"Empleador o patrono (044)",30,28,2,,
"Trabajador familiar no remunerado (045)",379,368,10,1,
"Trabajador del hogar (046)",10,10,,,
,,,,,
"URBANA (048)",13922,10595,1592,916,819
"Empleado (049)",2947,800,729,708,710
"Obrero (050)",2076,1459,322,188,107
"Trabajador independiente (051)",6871,6473,398,,
"Empleador o patrono (052)",124,103,14,6,1
"Trabajador familiar no remunerado (053)",1681,1537,129,14,1
"Trabajador del hogar (054)",223,223,,,
"De 06 a 14 años (056)",268,242,25,1,
