"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",9695,1093,113,3688,3435,358,571,113,324
"Hombres (001)",4935,282,53,1841,2008,199,284,73,195
"Mujeres (002)",4760,811,60,1847,1427,159,287,40,129
"PEA (003)",4033,309,6,1067,1622,232,445,77,275
"Hombres (004)",2746,153,3,751,1230,153,229,57,170
"Mujeres (005)",1287,156,3,316,392,79,216,20,105
"Ocupada (006)",3869,304,6,1026,1536,217,437,74,269
"Hombres (007)",2615,148,3,718,1161,141,225,55,164
"Mujeres (008)",1254,156,3,308,375,76,212,19,105
"Desocupada (009)",164,5,,41,86,15,8,3,6
"Hombres (010)",131,5,,33,69,12,4,2,6
"Mujeres (011)",33,,,8,17,3,4,1,
"No PEA (012)",5662,784,107,2621,1813,126,126,36,49
"Hombres (013)",2189,129,50,1090,778,46,55,16,25
"Mujeres (014)",3473,655,57,1531,1035,80,71,20,24
,,,,,,,,,
"URBANA (018)",6497,545,78,2297,2432,295,489,86,275
"Hombres (019)",3242,112,34,1105,1381,161,230,56,163
"Mujeres (020)",3255,433,44,1192,1051,134,259,30,112
"PEA (021)",2930,151,3,650,1227,206,395,62,236
"Hombres (022)",1910,53,1,433,905,133,196,46,143
"Mujeres (023)",1020,98,2,217,322,73,199,16,93
"Ocupada (024)",2857,150,3,643,1184,195,388,61,233
"Hombres (025)",1853,52,1,427,871,124,193,45,140
"Mujeres (026)",1004,98,2,216,313,71,195,16,93
"Desocupada (027)",73,1,,7,43,11,7,1,3
"Hombres (028)",57,1,,6,34,9,3,1,3
"Mujeres (029)",16,,,1,9,2,4,,
"No PEA (030)",3567,394,75,1647,1205,89,94,24,39
"Hombres (031)",1332,59,33,672,476,28,34,10,20
"Mujeres (032)",2235,335,42,975,729,61,60,14,19
,,,,,,,,,
"RURAL (036)",3198,548,35,1391,1003,63,82,27,49
"Hombres (037)",1693,170,19,736,627,38,54,17,32
"Mujeres (038)",1505,378,16,655,376,25,28,10,17
"PEA (039)",1103,158,3,417,395,26,50,15,39
"Hombres (040)",836,100,2,318,325,20,33,11,27
"Mujeres (041)",267,58,1,99,70,6,17,4,12
"Ocupada (042)",1012,154,3,383,352,22,49,13,36
"Hombres (043)",762,96,2,291,290,17,32,10,24
"Mujeres (044)",250,58,1,92,62,5,17,3,12
"Desocupada (045)",91,4,,34,43,4,1,2,3
"Hombres (046)",74,4,,27,35,3,1,1,3
"Mujeres (047)",17,,,7,8,1,,1,
"No PEA (048)",2095,390,32,974,608,37,32,12,10
"Hombres (049)",857,70,17,418,302,18,21,6,5
"Mujeres (050)",1238,320,15,556,306,19,11,6,5
