"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia CUSCO (000)",94543,91761,88337,2796,628,2782,208,802,1570,202
"Casa independiente (001)",71175,68938,66510,1972,456,2237,97,768,1220,152
"Departamento en edificio (002)",6354,6186,5841,326,19,168,55,26,72,15
"Vivienda en quinta (003)",5059,4974,4844,122,8,85,12,4,56,13
"Vivienda en casa de vecindad (004)",10991,10852,10490,323,39,139,44,4,77,14
"Choza o cabaña (005)",498,388,269,20,99,110,,,110,
"Vivienda improvisada (006)",198,155,115,33,7,43,,,35,8
"Local no dest.para hab. humana (007)",136,136,136,,,,,,,
"Otro tipo (008)",132,132,132,,,,,,,
,,,,,,,,,,
"URBANA (009)",89367,87126,84469,2446,211,2241,196,581,1276,188
"Casa independiente (010)",66498,64692,62912,1642,138,1806,85,547,1036,138
"Departamento en edificio (011)",6354,6186,5841,326,19,168,55,26,72,15
"Vivienda en quinta (012)",5059,4974,4844,122,8,85,12,4,56,13
"Vivienda en casa de vecindad (013)",10991,10852,10490,323,39,139,44,4,77,14
"Vivienda improvisada (015)",198,155,115,33,7,43,,,35,8
"Local no dest.para hab. humana (016)",135,135,135,,,,,,,
"Otro tipo (017)",132,132,132,,,,,,,
,,,,,,,,,,
"RURAL (018)",5176,4635,3868,350,417,541,12,221,294,14
"Casa independiente (019)",4677,4246,3598,330,318,431,12,221,184,14
"Choza o cabaña (023)",498,388,269,20,99,110,,,110,
"Local no dest.para hab. humana (025)",1,1,1,,,,,,,
