"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia POMABAMBA (000)",10234,9971,3147,1162,973,855,1547,1123,705,459,263,30818
"De 12 a 14 años (001)",1152,1149,1147,2,,,,,,,3,2
"De 15 a 19 años (002)",1452,1438,1301,116,18,3,,,,,14,161
"De 20 a 24 años (003)",1073,975,359,401,150,50,13,2,,,98,917
"De 25 a 29 años (004)",908,849,85,267,259,152,80,6,,,59,1618
"De 30 a 34 años (005)",798,775,39,110,164,164,220,68,9,1,23,2422
"De 35 a 39 años (006)",825,807,24,54,104,146,289,141,44,5,18,3296
"De 40 a 44 años (007)",762,753,16,39,63,92,253,181,77,32,9,3719
"De 45 a 49 años (008)",623,616,21,27,54,59,161,147,100,47,7,3324
"De 50 y más años (009)",2641,2609,155,146,161,189,531,578,475,374,32,15359
"PEA (010)",1348,1276,243,215,237,151,243,98,52,37,72,3706
"De 12 a 14 años (011)",19,19,19,,,,,,,,,
"De 15 a 19 años (012)",105,104,87,14,3,,,,,,1,20
"De 20 a 24 años (013)",154,135,58,53,20,4,,,,,19,105
"De 25 a 29 años (014)",188,169,33,59,52,16,6,3,,,19,256
"De 30 a 34 años (015)",159,146,13,27,45,29,25,6,1,,13,362
"De 35 a 39 años (016)",186,179,10,24,48,36,45,14,2,,7,531
"De 40 a 44 años (017)",167,164,4,16,24,31,67,17,2,3,3,611
"De 45 a 49 años (018)",120,117,2,6,22,17,40,16,11,3,3,502
"De 50 y más años (019)",250,243,17,16,23,18,60,42,36,31,7,1319
"Ocupada (020)",1263,1199,205,194,229,147,239,97,51,37,64,3624
"De 12 a 14 años (021)",18,18,18,,,,,,,,,
"De 15 a 19 años (022)",92,91,76,12,3,,,,,,1,18
"De 20 a 24 años (023)",130,114,44,47,19,4,,,,,16,97
