"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TRUJILLO (000)",316229,198882,35640,35031,46676
"Empleado (001)",111281,38068,16039,23444,33730
"Obrero (002)",61267,26938,11234,10608,12487
"Trabajador independiente (003)",114912,108247,6665,,
"Empleador o patrono (004)",6891,4788,1066,699,338
"Trabajador familiar no remunerado (005)",8945,7908,636,280,121
"Trabajador del hogar (006)",12933,12933,,,
"De 06 a 14 años (008)",3308,2708,397,152,51
"Empleado (009)",479,384,60,30,5
"Obrero (010)",724,422,162,98,42
"Trabajador independiente (011)",813,737,76,,
"Empleador o patrono (012)",9,8,,1,
"Trabajador familiar no remunerado (013)",980,854,99,23,4
"Trabajador del hogar (014)",303,303,,,
"De 15 a 29 años (016)",109670,65771,15830,13629,14440
"Empleado (017)",42028,17656,7099,8317,8956
"Obrero (018)",27805,11790,5652,5013,5350
"Trabajador independiente (019)",28061,25494,2567,,
"Empleador o patrono (020)",1455,955,236,178,86
"Trabajador familiar no remunerado (021)",3237,2792,276,121,48
"Trabajador del hogar (022)",7084,7084,,,
"De 30 a 44 años (024)",114569,69060,12569,13950,18990
"Empleado (025)",42351,12586,5888,9883,13994
"Obrero (026)",20661,8504,3632,3702,4823
"Trabajador independiente (027)",43113,40694,2419,,
"Empleador o patrono (028)",2751,1834,474,299,144
"Trabajador familiar no remunerado (029)",2403,2152,156,66,29
"Trabajador del hogar (030)",3290,3290,,,
"De 45 a 64 años (032)",77366,51964,6203,6820,12379
"Empleado (033)",24538,6672,2775,4925,10166
"Obrero (034)",10700,5314,1627,1660,2099
"Trabajador independiente (035)",36058,34653,1405,,
"Empleador o patrono (036)",2254,1653,310,194,97
"Trabajador familiar no remunerado (037)",1788,1644,86,41,17
"Trabajador del hogar (038)",2028,2028,,,
"De 65 y más años (040)",11316,9379,641,480,816
"Empleado (041)",1885,770,217,289,609
"Obrero (042)",1377,908,161,135,173
"Trabajador independiente (043)",6867,6669,198,,
"Empleador o patrono (044)",422,338,46,27,11
"Trabajador familiar no remunerado (045)",537,466,19,29,23
"Trabajador del hogar (046)",228,228,,,
,,,,,
"URBANA (048)",309049,193224,35109,34490,46226
"Empleado (049)",110538,37735,15941,23295,33567
"Obrero (050)",59122,25738,10957,10225,12202
