"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia VILCAS HUAMAN (000)",23154,362,8000,4779,3834,3418,2761
"Jefe o Jefa (001)",7092,,24,1058,2037,2067,1906
"Esposa(o) / compañera(o) (002)",3962,,14,934,1329,1115,570
"Hijo(a) / hijastro(a) (003)",9756,279,6858,2267,283,63,6
"Yerno / nuera (004)",148,,2,108,30,6,2
"Nieto(a) (005)",766,61,599,99,6,1,
"Padres / suegros (006)",223,,,,3,44,176
"Otro(a) pariente (007)",1055,22,485,257,110,90,91
"Trabajador(a) del hogar (008)",12,,3,6,1,2,
"Pensionistas (009)",13,,2,6,3,2,
"Otro(a) no pariente (010)",127,,13,44,32,28,10
"Hombres (011)",11212,189,4023,2421,1887,1502,1190
"Jefe o Jefa (012)",4858,,12,800,1603,1370,1073
"Esposa(o) / compañera(o) (013)",178,,11,52,45,38,32
"Hijo(a) / hijastro(a) (014)",5055,153,3433,1302,138,27,2
"Yerno / nuera (015)",63,,2,41,15,4,1
"Nieto(a) (016)",413,28,326,55,4,,
"Padres / suegros (017)",54,,,,,9,45
"Otro(a) pariente (018)",513,8,235,142,60,35,33
"Trabajador(a) del hogar (019)",1,,,1,,,
"Pensionistas (020)",5,,,2,3,,
"Otro(a) no pariente (021)",72,,4,26,19,19,4
"Mujeres (022)",11942,173,3977,2358,1947,1916,1571
"Jefe o Jefa (023)",2234,,12,258,434,697,833
"Esposa(o) / compañera(o) (024)",3784,,3,882,1284,1077,538
"Hijo(a) / hijastro(a) (025)",4701,126,3425,965,145,36,4
"Yerno / nuera (026)",85,,,67,15,2,1
"Nieto(a) (027)",353,33,273,44,2,1,
"Padres / suegros (028)",169,,,,3,35,131
"Otro(a) pariente (029)",542,14,250,115,50,55,58
"Trabajador(a) del hogar (030)",11,,3,5,1,2,
"Pensionistas (031)",8,,2,4,,2,
"Otro(a) no pariente (032)",55,,9,18,13,9,6
,,,,,,,
"URBANA (033)",7056,93,2284,1536,1279,1028,836
"Jefe o Jefa (034)",2221,,9,321,681,636,574
"Esposa(o) / compañera(o) (035)",1135,,7,260,406,299,163
"Hijo(a) / hijastro(a) (036)",2787,66,1887,715,94,24,1
"Yerno / nuera (037)",51,,1,37,11,,2
"Nieto(a) (038)",231,18,177,35,1,,
"Padres / suegros (039)",78,,,,1,16,61
"Otro(a) pariente (040)",457,9,195,128,59,37,29
"Trabajador(a) del hogar (041)",8,,2,4,1,1,
"Pensionistas (042)",9,,2,5,,2,
"Otro(a) no pariente (043)",79,,4,31,25,13,6
"Hombres (044)",3392,43,1119,767,626,478,359
"Jefe o Jefa (045)",1466,,5,222,504,423,312
"Esposa(o) / compañera(o) (046)",83,,5,21,20,21,16
"Hijo(a) / hijastro(a) (047)",1399,31,906,406,48,7,1
"Yerno / nuera (048)",21,,1,14,5,,1
"Nieto(a) (049)",131,9,101,20,1,,
"Padres / suegros (050)",21,,,,,4,17
"Otro(a) pariente (051)",225,3,101,65,33,13,10
"Trabajador(a) del hogar (052)",1,,,1,,,
"Pensionistas (053)",1,,,1,,,
"Otro(a) no pariente (054)",44,,,17,15,10,2
"Mujeres (055)",3664,50,1165,769,653,550,477
"Jefe o Jefa (056)",755,,4,99,177,213,262
"Esposa(o) / compañera(o) (057)",1052,,2,239,386,278,147
"Hijo(a) / hijastro(a) (058)",1388,35,981,309,46,17,
"Yerno / nuera (059)",30,,,23,6,,1
"Nieto(a) (060)",100,9,76,15,,,
"Padres / suegros (061)",57,,,,1,12,44
"Otro(a) pariente (062)",232,6,94,63,26,24,19
"Trabajador(a) del hogar (063)",7,,2,3,1,1,
"Pensionistas (064)",8,,2,4,,2,
"Otro(a) no pariente (065)",35,,4,14,10,3,4
,,,,,,,
"RURAL (066)",16098,269,5716,3243,2555,2390,1925
"Jefe o Jefa (067)",4871,,15,737,1356,1431,1332
"Esposa(o) / compañera(o) (068)",2827,,7,674,923,816,407
"Hijo(a) / hijastro(a) (069)",6969,213,4971,1552,189,39,5
"Yerno / nuera (070)",97,,1,71,19,6,
"Nieto(a) (071)",535,43,422,64,5,1,
"Padres / suegros (072)",145,,,,2,28,115
"Otro(a) pariente (073)",598,13,290,129,51,53,62
"Trabajador(a) del hogar (074)",4,,1,2,,1,
"Pensionistas (075)",4,,,1,3,,
"Otro(a) no pariente (076)",48,,9,13,7,15,4
"Hombres (077)",7820,146,2904,1654,1261,1024,831
"Jefe o Jefa (078)",3392,,7,578,1099,947,761
"Esposa(o) / compañera(o) (079)",95,,6,31,25,17,16
"Hijo(a) / hijastro(a) (080)",3656,122,2527,896,90,20,1
"Yerno / nuera (081)",42,,1,27,10,4,
"Nieto(a) (082)",282,19,225,35,3,,
"Padres / suegros (083)",33,,,,,5,28
"Otro(a) pariente (084)",288,5,134,77,27,22,23
"Pensionistas (086)",4,,,1,3,,
"Otro(a) no pariente (087)",28,,4,9,4,9,2
"Mujeres (088)",8278,123,2812,1589,1294,1366,1094
"Jefe o Jefa (089)",1479,,8,159,257,484,571
"Esposa(o) / compañera(o) (090)",2732,,1,643,898,799,391
"Hijo(a) / hijastro(a) (091)",3313,91,2444,656,99,19,4
"Yerno / nuera (092)",55,,,44,9,2,
"Nieto(a) (093)",253,24,197,29,2,1,
"Padres / suegros (094)",112,,,,2,23,87
"Otro(a) pariente (095)",310,8,156,52,24,31,39
"Trabajador(a) del hogar (096)",4,,1,2,,1,
"Otro(a) no pariente (098)",20,,5,4,3,6,2
