"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia UCAYALI",,,,,,,,,
"Viviendas particulares (001)",896,796,10,67,4,6,,4,9
"Ocupantes presentes (002)",4623,4140,49,291,27,37,,23,56
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",843,754,10,59,4,6,,4,6
"Ocupantes presentes (005)",4414,3976,49,272,27,37,,23,30
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",3,3,,,,,,,
"Ocupantes presentes (008)",6,6,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",33,25,,6,,,,,2
"Ocupantes presentes (011)",136,107,,9,,,,,20
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",5,4,,,,,,,1
"Ocupantes presentes (014)",19,13,,,,,,,6
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",11,9,,2,,,,,
"Ocupantes presentes (020)",43,33,,10,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,1,,,,,,,
"Ocupantes presentes (023)",5,5,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",725,626,10,67,4,5,,4,9
"Ocupantes presentes (029)",3768,3288,49,291,27,34,,23,56
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",672,584,10,59,4,5,,4,6
"Ocupantes presentes (032)",3559,3124,49,272,27,34,,23,30
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",3,3,,,,,,,
"Ocupantes presentes (035)",6,6,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",33,25,,6,,,,,2
"Ocupantes presentes (038)",136,107,,9,,,,,20
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",5,4,,,,,,,1
"Ocupantes presentes (041)",19,13,,,,,,,6
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",11,9,,2,,,,,
"Ocupantes presentes (047)",43,33,,10,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",5,5,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",171,170,,,,1,,,
"Ocupantes presentes (056)",855,852,,,,3,,,
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",171,170,,,,1,,,
"Ocupantes presentes (059)",855,852,,,,3,,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
