"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CONCEPCION",,,,,,
"Viviendas particulares (001)",14130,13641,389,84,11,5
"Ocupantes presentes (002)",59074,54666,3100,1035,174,99
"Casa independiente",,,,,,
"Viviendas particulares (004)",13827,13362,377,78,7,3
"Ocupantes presentes (005)",57551,53430,2992,964,108,57
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",8,7,1,,,
"Ocupantes presentes (008)",26,19,7,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",58,39,10,4,3,2
"Ocupantes presentes (011)",398,162,96,51,47,42
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",49,45,1,2,1,
"Ocupantes presentes (014)",220,176,5,20,19,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",177,177,,,,
"Ocupantes presentes (017)",822,822,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",4,4,,,,
"Ocupantes presentes (020)",14,14,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",7,7,,,,
"Ocupantes presentes (023)",43,43,,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",7170,6763,317,76,10,4
"Ocupantes presentes (029)",30262,26564,2524,933,163,78
"Casa independiente",,,,,,
"Viviendas particulares (031)",7045,6662,305,70,6,2
"Ocupantes presentes (032)",29562,26151,2416,862,97,36
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",8,7,1,,,
"Ocupantes presentes (035)",26,19,7,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",58,39,10,4,3,2
"Ocupantes presentes (038)",398,162,96,51,47,42
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",49,45,1,2,1,
"Ocupantes presentes (041)",220,176,5,20,19,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",4,4,,,,
"Ocupantes presentes (047)",14,14,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",6,6,,,,
"Ocupantes presentes (050)",42,42,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",6960,6878,72,8,1,1
"Ocupantes presentes (056)",28812,28102,576,102,11,21
"Casa independiente",,,,,,
"Viviendas particulares (058)",6782,6700,72,8,1,1
"Ocupantes presentes (059)",27989,27279,576,102,11,21
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",177,177,,,,
"Ocupantes presentes (071)",822,822,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",1,1,,,,
"Ocupantes presentes (077)",1,1,,,,
"Otro tipo",,,,,,
