"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHOTA (000)",149505,31136,3730,76708,29339,1715,3108,1105,2664
"Jefe o Jefa (001)",39231,8602,22,21711,5682,430,1239,285,1260
"Esposa(o)/ compa¤era(o) (002)",25613,8863,29,12541,2838,207,556,119,460
"Hijo(a)/ hijastro(a) (003)",63413,9107,2771,32334,16431,821,859,505,585
"Yerno/ nuera (004)",2832,163,4,1460,858,52,154,27,114
"Nieto(a) (005)",8290,1733,662,4237,1519,32,40,36,31
"Padres/ suegros (006)",1269,867,,352,32,3,8,1,6
"Otro(a) pariente (007)",7666,1624,233,3644,1632,127,182,96,128
"Trabajador(a) del hogar (008)",253,53,,125,69,2,1,3,
"Pensionista (009)",71,4,,13,23,7,13,3,8
"Otro(a) no pariente (010)",867,120,9,291,255,34,56,30,72
"Hombres (012)",72044,9207,1871,39143,16971,912,1737,627,1576
"Jefe o Jefa (013)",28964,3491,14,18077,4809,341,985,216,1031
"Esposa(o)/ compa¤era(o) (014)",1081,134,3,566,263,19,42,16,38
"Hijo(a)/ hijastro(a) (015)",32217,3964,1393,15860,9526,418,458,293,305
"Yerno/ nuera (016)",1253,44,2,604,399,24,95,16,69
"Nieto(a) (017)",4174,853,339,2051,861,16,22,17,15
"Padres/ suegros (018)",283,106,,154,13,2,4,,4
"Otro(a) pariente (019)",3591,568,116,1686,939,68,90,53,71
"Trabajador(a) del hogar (020)",20,3,,7,8,,1,1,
"Pensionista (021)",46,2,,8,14,5,11,1,5
"Otro(a) no pariente (022)",415,42,4,130,139,19,29,14,38
"Mujeres (024)",77461,21929,1859,37565,12368,803,1371,478,1088
"Jefe o Jefa (025)",10267,5111,8,3634,873,89,254,69,229
"Esposa(o)/ compa¤era(o) (026)",24532,8729,26,11975,2575,188,514,103,422
"Hijo(a)/ hijastro(a) (027)",31196,5143,1378,16474,6905,403,401,212,280
"Yerno/ nuera (028)",1579,119,2,856,459,28,59,11,45
"Nieto(a) (029)",4116,880,323,2186,658,16,18,19,16
"Padres/ suegros (030)",986,761,,198,19,1,4,1,2
"Otro(a) pariente (031)",4075,1056,117,1958,693,59,92,43,57
"Trabajador(a) del hogar (032)",233,50,,118,61,2,,2,
"Pensionista (033)",25,2,,5,9,2,2,2,3
"Otro(a) no pariente (034)",452,78,5,161,116,15,27,16,34
,,,,,,,,,
"URBANA (036)",29977,3431,834,10648,8693,1011,2205,830,2325
"Jefe o Jefa (037)",8747,848,5,3174,2116,309,949,231,1115
"Esposa(o)/ compa¤era(o) (038)",5071,795,6,1826,1244,176,485,111,428
"Hijo(a)/ hijastro(a) (039)",11100,1090,629,3973,3796,345,457,336,474
"Yerno/ nuera (040)",540,13,1,98,188,27,97,20,96
"Nieto(a) (041)",1421,244,135,595,358,17,22,25,25
"Padres/ suegros (042)",317,149,,128,24,3,7,,6
"Otro(a) pariente (043)",1994,212,51,603,707,98,134,80,109
"Trabajador(a) del hogar (044)",197,33,,95,64,2,1,2,
