"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia TACNA",,,,,,,
"Viviendas particulares (001)",71553,48990,2260,4722,8456,602,6523
"Ocupantes presentes (002)",258846,195631,8088,13699,24429,1476,15523
"Casa independiente",,,,,,,
"Viviendas particulares (004)",61902,46081,1798,3801,5813,342,4067
"Ocupantes presentes (005)",232477,186537,6823,11367,17258,906,9586
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",2226,2033,193,,,,
"Ocupantes presentes (008)",6748,6235,513,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",393,305,81,,,,7
"Ocupantes presentes (011)",1222,988,221,,,,13
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",410,260,125,,,,25
"Ocupantes presentes (014)",1386,961,372,,,,53
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",1807,18,,112,682,15,980
"Ocupantes presentes (017)",4849,58,,234,1947,47,2563
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",4646,211,60,793,1945,243,1394
"Ocupantes presentes (020)",11788,651,154,2070,5185,519,3209
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",139,82,3,15,13,1,25
"Ocupantes presentes (023)",306,201,5,27,31,1,41
"Otro tipo",,,,,,,
"Viviendas particulares (025)",30,,,1,3,1,25
"Ocupantes presentes (026)",70,,,1,8,3,58
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",66179,48799,2241,3962,5780,534,4863
"Ocupantes presentes (029)",242401,194957,8013,11229,15832,1303,11067
"Casa independiente",,,,,,,
"Viviendas particulares (031)",58355,45909,1779,3155,3822,289,3401
"Ocupantes presentes (032)",220923,185922,6748,9135,10616,780,7722
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",2226,2033,193,,,,
"Ocupantes presentes (035)",6748,6235,513,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",393,305,81,,,,7
"Ocupantes presentes (038)",1222,988,221,,,,13
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",410,260,125,,,,25
"Ocupantes presentes (041)",1386,961,372,,,,53
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",4646,211,60,793,1945,243,1394
"Ocupantes presentes (047)",11788,651,154,2070,5185,519,3209
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",131,81,3,13,11,1,22
"Ocupantes presentes (050)",294,200,5,23,28,1,37
"Otro tipo",,,,,,,
"Viviendas particulares (052)",18,,,1,2,1,14
"Ocupantes presentes (053)",40,,,1,3,3,33
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",5374,191,19,760,2676,68,1660
"Ocupantes presentes (056)",16445,674,75,2470,8597,173,4456
"Casa independiente",,,,,,,
"Viviendas particulares (058)",3547,172,19,646,1991,53,666
"Ocupantes presentes (059)",11554,615,75,2232,6642,126,1864
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",1807,18,,112,682,15,980
"Ocupantes presentes (071)",4849,58,,234,1947,47,2563
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",8,1,,2,2,,3
"Ocupantes presentes (077)",12,1,,4,3,,4
"Otro tipo",,,,,,,
"Viviendas particulares (079)",12,,,,1,,11
"Ocupantes presentes (080)",30,,,,5,,25
