"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHEPEN (000)",71668,2996,15299,13752,11334,10142,7398,4987,5760
"Quechua (001)",64,,9,12,11,15,7,6,4
"Aymara (002)",8,,3,1,1,1,2,,
"Ashaninca (003)",2,,,1,1,,,,
"Otra lengua nativa (004)",45,2,12,7,6,6,5,5,2
"Castellano (005)",71483,2992,15265,13719,11300,10109,7376,4971,5751
"Idioma extranjero (006)",9,2,1,1,2,2,1,,
"Es sordomudo/a (007)",57,,9,11,13,9,7,5,3
"Hombres (009)",35760,1573,7781,6964,5507,4821,3667,2501,2946
"Quechua (010)",32,,5,6,6,5,4,3,3
"Aymara (011)",5,,2,1,,1,1,,
"Ashaninca (012)",1,,,,1,,,,
"Otra lengua nativa (013)",24,2,8,6,2,3,1,2,
"Castellano (014)",35659,1571,7758,6944,5490,4808,3655,2492,2941
"Idioma extranjero (015)",1,,,1,,,,,
"Es sordomudo/a (016)",38,,8,6,8,4,6,4,2
"Mujeres (018)",35908,1423,7518,6788,5827,5321,3731,2486,2814
"Quechua (019)",32,,4,6,5,10,3,3,1
"Aymara (020)",3,,1,,1,,1,,
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",21,,4,1,4,3,4,3,2
"Castellano (023)",35824,1421,7507,6775,5810,5301,3721,2479,2810
"Idioma extranjero (024)",8,2,1,,2,2,1,,
"Es sordomudo/a (025)",19,,1,5,5,5,1,1,1
,,,,,,,,,
"URBANA (027)",58736,2379,12295,11165,9249,8501,6177,4124,4846
"Quechua (028)",40,,2,6,6,11,6,6,3
"Aymara (029)",8,,3,1,1,1,2,,
"Ashaninca (030)",2,,,1,1,,,,
"Otra lengua nativa (031)",44,2,11,7,6,6,5,5,2
"Castellano (032)",58588,2375,12272,11139,9223,8474,6159,4108,4838
"Idioma extranjero (033)",7,2,,1,2,2,,,
"Es sordomudo/a (034)",47,,7,10,10,7,5,5,3
"Hombres (036)",28923,1239,6207,5592,4409,3983,3016,2043,2434
"Quechua (037)",20,,2,3,3,4,3,3,2
"Aymara (038)",5,,2,1,,1,1,,
"Ashaninca (039)",1,,,,1,,,,
"Otra lengua nativa (040)",23,2,7,6,2,3,1,2,
"Castellano (041)",28842,1237,6190,5576,4397,3971,3007,2034,2430
"Idioma extranjero (042)",1,,,1,,,,,
"Es sordomudo/a (043)",31,,6,5,6,4,4,4,2
"Mujeres (045)",29813,1140,6088,5573,4840,4518,3161,2081,2412
"Quechua (046)",20,,,3,3,7,3,3,1
"Aymara (047)",3,,1,,1,,1,,
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",21,,4,1,4,3,4,3,2
"Castellano (050)",29746,1138,6082,5563,4826,4503,3152,2074,2408
"Idioma extranjero (051)",6,2,,,2,2,,,
"Es sordomudo/a (052)",16,,1,5,4,3,1,1,1
,,,,,,,,,
"RURAL (054)",12932,617,3004,2587,2085,1641,1221,863,914
"Quechua (055)",24,,7,6,5,4,1,,1
"Otra lengua nativa (058)",1,,1,,,,,,
"Castellano (059)",12895,617,2993,2580,2077,1635,1217,863,913
"Idioma extranjero (060)",2,,1,,,,1,,
"Es sordomudo/a (061)",10,,2,1,3,2,2,,
"Hombres (063)",6837,334,1574,1372,1098,838,651,458,512
"Quechua (064)",12,,3,3,3,1,1,,1
"Otra lengua nativa (067)",1,,1,,,,,,
"Castellano (068)",6817,334,1568,1368,1093,837,648,458,511
"Es sordomudo/a (070)",7,,2,1,2,,2,,
"Mujeres (072)",6095,283,1430,1215,987,803,570,405,402
"Quechua (073)",12,,4,3,2,3,,,
"Castellano (077)",6078,283,1425,1212,984,798,569,405,402
"Idioma extranjero (078)",2,,1,,,,1,,
"Es sordomudo/a (079)",3,,,,1,2,,,
